10    1.89213    6.84721    0.09559    0.18354    8.78438   17.29971    2.58459    3.19401
20    4.05455   17.79315    0.09742    0.19646   21.44668   46.53734    4.69539    5.76759
30    6.23934   29.09120    0.10463    0.20780   35.79267   76.06120    6.19665    8.59553
40    8.15527   40.10208    0.09262    0.17027   49.39996  105.30178    7.13767    9.86951
50    9.66195   49.28660    0.09193    0.16633   59.05714  130.29476    8.27832   10.97199
60   10.04217   50.33005    0.08696    0.16338   59.69315  133.12277    9.29579   12.01201
70   11.11080   53.37918    0.08828    0.16527   64.78286  140.43057   10.80523   13.63111
80   12.78933   59.38556    0.07485    0.14181   75.06397  155.15926   12.29128   14.72342
90   15.07130   65.44512    0.07580    0.14166   89.82964  167.99122   13.95932   16.21141
100   18.57731   77.15351    0.06494    0.11818  113.45075  194.98607   16.17168   17.05328
