10    1.66675    7.16492    0.07549    0.14076    8.49411   18.70883    1.99104    2.60339
20    3.86089   18.59589    0.08008    0.16861   22.29390   48.88010    3.74685    5.38052
30    6.11094   30.31791    0.07877    0.14977   36.69631   79.43798    5.45855    9.10977
40    8.34558   41.97472    0.08152    0.16544   50.67530  109.79155    7.28067   13.36881
50   10.29879   51.37107    0.07176    0.12855   62.20548  133.92426    9.17202   17.53033
60   11.55414   53.22486    0.07012    0.12814   68.29456  136.04552   10.90730   21.45626
70   13.18224   57.08555    0.08680    0.16550   77.76416  143.94557   12.49269   23.08319
80   15.32920   63.42616    0.06891    0.12789   90.82457  158.46083   14.43080   24.17102
90   17.28458   69.02680    0.07479    0.13781  102.64068  171.35120   16.18493   24.29277
100   19.89963   77.78822    0.05774    0.11317  120.06106  191.30322   17.93149   26.03546
