10    1.12377    3.75325    0.07580    0.14919    4.68292    9.33291    1.71220    2.08870
20    2.29701    8.89840    0.08195    0.15452   10.42422   22.72587    3.29905    4.40520
30    3.49656   14.69997    0.07814    0.14353   16.52490   38.16353    4.84858    6.52954
40    4.78505   21.41059    0.07240    0.13860   23.65309   55.86977    6.28612    9.27504
50    6.10153   29.28698    0.06981    0.13477   31.32245   76.93789    7.59408   12.38248
60    7.31874   36.77615    0.08568    0.16543   38.91047   97.26232    8.56952   14.31733
70    8.48302   40.78264    0.08454    0.15952   46.86617  107.24391    9.25482   14.00086
80    9.66877   47.06787    0.07247    0.13548   55.01818  124.15878    9.95389   13.76076
90   11.00400   52.32807    0.07201    0.13125   63.68580  137.37725   10.92071   14.22203
100   12.56046   58.40281    0.06796    0.11605   75.12721  152.14460   11.51936   14.08428
