10    0.84454    3.11229    0.05193    0.09344    4.00489    7.90591    1.10221    1.36851
20    1.68997    7.83020    0.05425    0.10420    8.92886   20.73279    1.93500    2.33192
30    2.43856   13.34310    0.05853    0.10855   13.65183   36.08874    2.52291    2.98793
40    3.15634   18.12931    0.05023    0.09537   18.15417   49.22783    3.12093    3.64991
50    3.77617   21.36151    0.05397    0.10683   22.09805   57.79281    3.59405    4.24568
60    4.50493   25.50134    0.05821    0.10413   27.18315   68.83190    3.97134    4.46479
70    5.34187   30.84763    0.05894    0.10454   33.69508   83.13646    4.14380    4.23800
80    6.79932   38.93306    0.05979    0.11011   43.63085  104.60914    5.00660    4.70112
90    8.14987   44.38461    0.04770    0.09335   51.94896  118.44674    6.18641    5.59225
100    8.61658   42.00384    0.05083    0.08060   53.97884  110.11329    6.91793    6.38049
