10    1.43352    5.40443    0.07952    0.14372    6.58670   13.76054    1.97192    2.59952
20    2.86732   12.63836    0.08470    0.15633   14.23837   33.08785    3.66155    5.01105
30    4.43894   20.80696    0.08534    0.16712   22.99431   54.84057    5.37571    7.69986
40    6.00212   27.53695    0.09024    0.17697   31.20822   72.15063    7.27050   10.59733
50    7.38254   33.15714    0.08379    0.16429   37.61818   86.55738    9.30191   13.46950
60    8.45411   38.45891    0.08592    0.15519   43.10897  101.01062   10.65909   14.47655
70    9.23036   40.75796    0.08453    0.16739   47.04324  106.77718   11.66520   14.70255
80   10.28585   42.42964    0.08105    0.16694   51.56319  109.96445   13.36811   15.78012
90   11.69469   46.62953    0.07824    0.18536   58.91835  119.86318   15.10881   17.57858
100   14.09565   57.59796    0.05533    0.09481   73.12788  148.39764   17.44018   20.53835
