10    1.21955    4.24562    0.07109    0.13297    5.20914   10.64991    1.82876    2.27407
20    2.56598   11.22402    0.06904    0.12783   12.02868   29.40966    3.57504    4.84154
30    3.87702   18.29736    0.07638    0.14131   19.10816   48.30464    5.08180    7.49400
40    5.48186   25.11753    0.07860    0.13588   27.96813   65.58650    6.86159   10.66179
50    7.36100   34.04948    0.08235    0.15372   38.60809   88.67579    8.83717   14.46527
60    9.24480   39.18832    0.07330    0.13604   48.00864   99.61108   11.34855   19.04310
70   11.16296   44.79332    0.07119    0.12051   57.27068  111.61760   14.01609   24.15036
80   12.68778   49.40125    0.07746    0.14141   64.00519  122.03659   16.37263   27.80124
90   14.40273   55.18180    0.06811    0.12481   73.00023  135.70386   18.48620   30.96117
100   15.64205   61.22202    0.09242    0.16020   80.88496  151.55665   19.40018   32.78687
