    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -843.1838        4365.3026         -19.8516         -69.3032        -219.8258         229.5743          33.3542         184.2218        -113.7168
       1        -843.4684        4365.3026         495.6475         221.0854         433.8304         832.0267         292.4552         147.3795          16.4222
       2        -843.5881        4365.3026        1614.3685        1191.2576        1748.0521        1903.7958         606.3395         -35.9083         197.5587
       3        -843.6272        4365.3026        1605.3114        1248.6917        1682.9941        1884.2484         517.5615         -84.1467         170.6252
       4        -843.6824        4365.3026        1601.2120        1359.8285        1583.0410        1860.7665         363.9209        -165.4417         124.8469
       5        -843.7274        4365.3026        1621.2963        1507.7723        1497.1683        1858.9482         187.6914        -254.0499          75.0370
       6        -843.7562        4365.3026        1675.6542        1649.5291        1473.9778        1903.4557          43.1345        -319.6073          40.8969
       7        -843.7856        4365.3026        1755.8126        1740.4310        1528.2760        1998.7310         -32.5178        -344.2263          35.0787
       8        -843.8296        4365.3026        1849.8081        1769.1978        1645.6884        2134.5381         -32.5513        -327.0920          55.5653
       9        -843.8830        4365.3026        1953.6879        1761.5417        1803.6071        2295.9143          30.8086        -278.0442          88.7448
      10        -843.9333        4365.3026        2081.1467        1769.5984        1994.1016        2479.7405         145.1388        -209.3893         114.4509
      11        -843.9677        4365.3026        2222.9861        1876.9410        2157.1497        2634.8669         256.6998        -165.4168          88.9139
      12        -844.0006        4365.3026        2334.7002        2097.3411        2211.0195        2695.7400         290.2781        -188.4393         -18.3248
      13        -844.0437        4365.3026        2364.0730        2350.0154        2112.0078        2630.1951         212.4312        -269.1211        -205.0244
      14        -844.0809        4365.3026        2270.7747        2448.8347        1902.6487        2460.8411          76.9385        -320.4044        -418.7233
      15        -844.1179        4365.3026        2062.0776        2188.1479        1721.0551        2277.0298          49.6129        -221.2080        -554.9979
      16        -844.1625        4365.3026        1807.4122        1659.4622        1621.4786        2141.2959         220.3590          25.2908        -587.4891
      17        -844.2001        4365.3026        1627.7408        1370.1608        1504.0720        2008.9897         428.7591         192.7121        -625.9801
      18        -844.2520        4365.3026        1595.3793        1625.5155        1349.6632        1810.9592         402.0847          57.7408        -736.2928
      19        -844.2817        4365.3026        1719.0458        1911.7850        1508.7390        1736.6134         226.1850        -166.9398        -732.9338
      20        -844.3282        4365.3026        1760.7401        1458.1315        1898.5090        1925.5797         372.7504         -57.7677        -465.6963
      21        -844.3621        4365.3026        1644.0685        1318.6809        1692.8829        1920.6416         430.1141         -31.8905        -314.7735
      22        -844.3972        4365.3026        1558.6937        1736.3463        1395.4541        1544.2809          86.9169        -229.3630        -372.4315
      23        -844.4185        4365.3026        1553.1271        1545.9940        1471.9426        1641.4447         221.8746        -112.5148        -354.4323
      24        -844.4238        4365.3026        1558.8102        1317.8698        1584.3469        1774.2141         395.8409          48.4062        -343.4614
      25        -844.4264        4365.3026        1557.1821        1342.0328        1569.0332        1760.4805         376.5521          36.0403        -351.0936
      26        -844.4304        4365.3026        1554.4537        1386.6708        1541.1497        1735.5413         341.5053          13.9651        -365.3764
      27        -844.4343        4365.3026        1551.3212        1444.2144        1505.6010        1704.1481         297.6419         -12.5828        -384.3878
