    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -729.4925        3528.0932         658.1613         982.8497        1234.5696        -242.9353          42.5460           1.8924        -167.4014
       1        -729.4954        3528.0932         699.6597         996.1578        1338.5692        -235.7481           6.7915         -19.8205        -180.0068
       2        -729.4982        3528.0932         731.6894        1013.9940        1418.0575        -236.9833         -38.7854         -24.4904        -202.9736
       3        -729.5032        3528.0932         706.6691        1021.6548        1357.0706        -258.7181         -60.7413          13.5940        -225.7787
       4        -729.5085        3528.0932         657.8547        1013.3238        1249.6439        -289.4038         -62.0190          52.2452        -230.2083
       5        -729.5145        3528.0932         653.8182         997.0479        1273.0172        -308.6107         -71.0357          38.0684        -206.8260
       6        -729.5209        3528.0932         691.6905         981.6126        1408.7288        -315.2698         -88.4308         -10.6767        -166.8022
       7        -729.5273        3528.0932         695.8539         965.6805        1445.5763        -323.6950         -72.6495         -27.2441        -131.3306
       8        -729.5344        3528.0932         628.5875         933.6193        1297.4471        -345.3039          -2.9486           3.5953        -100.4043
       9        -729.5417        3528.0932         591.1142         891.9144        1261.8545        -380.4264          37.8431           5.1577         -51.7528
      10        -729.5496        3528.0932         607.1148         857.4452        1387.9099        -424.0105          19.6291         -28.8636           0.1465
      11        -729.5575        3528.0932         524.7962         818.6202        1202.9714        -447.2029          86.0872         -19.8825          -4.9247
      12        -729.5674        3528.0932         597.2388         861.2532        1384.2485        -453.7852          -9.4682         -12.3957         -40.0690
      13        -729.5751        3528.0932         476.2995         809.9005        1119.0133        -500.0154          75.1029           8.6068         -45.4242
      14        -729.5805        3528.0932         667.2643         914.2073        1614.0900        -526.5045        -161.6817          54.1294         -48.0915
      15        -729.5891        3528.0932         523.5298         824.4447        1271.2720        -525.1272          25.7412           5.6316         -24.9433
      16        -729.5892        3528.0932         526.6969         826.2594        1277.9272        -524.0958          23.2004           6.0621         -24.9050
      17        -729.5895        3528.0932         532.1581         829.3146        1289.4425        -522.2827          18.9682           6.7281         -24.6911
      18        -729.5897        3528.0932         538.3123         832.5211        1302.3053        -519.8896          14.7892           7.1818         -23.9554
      19        -729.5901        3528.0932         543.1150         834.5515        1312.2212        -517.4277          12.7280           6.9545         -22.3102
      20        -729.5906        3528.0932         544.8604         834.2582        1315.6821        -515.3591          14.4137           5.6149         -19.4257
      21        -729.5911        3528.0932         542.8935         831.1967        1311.6440        -514.1605          20.1452           3.0597         -15.2293
      22        -729.5917        3528.0932         537.8701         825.8909        1301.8538        -514.1344          28.7061          -0.3947          -9.9653
      23        -729.5925        3528.0932         530.9313         818.9537        1289.3545        -515.5142          38.5065          -4.4162          -3.5540
      24        -729.5934        3528.0932         525.1160         812.6371        1280.9276        -518.2169          45.3505          -7.7758           3.0018
      25        -729.5947        3528.0932         523.7796         809.8779        1283.1818        -521.7207          45.0316          -8.9967           8.1364
      26        -729.5962        3528.0932         527.8233         812.0369        1296.2482        -524.8152          36.8559          -7.4873          10.4533
      27        -729.5981        3528.0932         533.0325         816.9066        1308.5363        -526.3452          27.0333          -4.9243           9.7782
      28        -729.6005        3528.0932         532.8857         819.6038        1305.3832        -526.3301          24.6440          -4.7359           7.9436
      29        -729.6034        3528.0932         529.2184         820.2449        1293.4680        -526.0577          27.2318          -6.8861           6.2679
      30        -729.6069        3528.0932         533.0526         826.1924        1300.5043        -527.5391          18.9773          -5.3154           3.7717
      31        -729.6113        3528.0932         540.1893         834.5117        1319.0594        -533.0033           4.4281          -0.0028           2.1223
      32        -729.6169        3528.0932         526.7292         825.0250        1298.9471        -543.7844          17.8949          -5.0467           9.5390
      33        -729.6237        3528.0932         520.1166         820.3386        1290.0192        -550.0077          27.2791          -6.7714          13.5894
      34        -729.6321        3528.0932         524.4384         824.5136        1300.2178        -551.4162          23.7654          -3.2213          10.8614
      35        -729.6420        3528.0932         489.2565         787.5319        1256.3245        -576.0870          62.3655         -30.3268          31.7815
      36        -729.6538        3528.0932         556.4832         870.8645        1341.6876        -543.1027         -26.5665          35.0912         -34.9744
      37        -729.6528        3528.0932         345.4847         614.4125        1146.5267        -724.4852         196.8577        -149.3031         173.9122
      38        -729.6689        3528.0932         513.9639         824.2551        1298.7386        -581.1018          19.6316          -0.7288           1.5747
      39        -729.6555        3528.0932         699.2166        1054.2123        1462.8615        -419.4240        -171.4389         161.2757        -187.8968
      40        -729.6630        3528.0932         643.0005         984.0865        1413.3333        -468.4179        -112.0936         111.3900        -129.3160
      41        -729.6697        3528.0932         553.2346         871.8527        1334.7804        -546.9291         -17.5984          31.7582         -35.3507
      42        -729.6690        3528.0932         461.1806         756.5071        1255.2469        -628.2123          78.6808         -49.6228          61.6531
      43        -729.6692        3528.0932         464.8521         761.1303        1258.4086        -624.9827          74.8445         -46.3511          57.8064
      44        -729.6697        3528.0932         471.9911         770.0817        1264.5907        -618.6992          67.4346         -39.9983          50.3081
      45        -729.6701        3528.0932         482.1794         782.9045        1273.3752        -609.7415          56.8247         -30.9233          39.6192
      46        -729.6706        3528.0932         494.7971         798.7870        1284.2234        -598.6188          43.7057         -19.6904          26.3520
      47        -729.6710        3528.0932         508.9209         816.5596        1296.3434        -586.1405          29.0551          -7.1062          11.5047
      48        -729.6711        3528.0932         523.1193         834.4448        1308.4744        -573.5613          14.3548           5.5330          -3.4853
