10    0.75933    2.55369    0.05287    0.09576    3.23901    6.28452    1.12385    1.51146
20    1.37926    5.07626    0.05220    0.09493    6.27241   12.79537    1.96996    2.59576
30    1.85185    7.24118    0.05316    0.09462    8.69563   18.55654    2.56781    3.29678
40    2.32272    9.76957    0.04955    0.08796   11.32339   25.48279    3.08693    3.76852
50    2.83156   12.40985    0.05459    0.10191   14.25842   32.62292    3.59259    4.23769
60    3.28677   14.38938    0.05398    0.10205   16.97339   37.83898    4.01908    4.37650
70    3.70706   16.22753    0.05586    0.11426   19.19211   42.69832    4.52335    4.77536
80    3.80928   16.31732    0.05220    0.09765   19.11564   42.83905    4.90033    5.27905
90    4.04049   16.04932    0.06546    0.12960   19.33720   41.73050    5.55387    5.68668
100    4.61628   15.71027    0.06209    0.11398   21.55131   39.11193    6.58632    7.00532
