,gas,label,index,energy
111,BF3,bareSurface,range,0.27690000000000003
112,BiF5,ADDIonADDI,0,0.0337446393257
113,BiF5,ADDIonADDI,1,-0.3333553606743
114,BiF5,ADDIonADDI,2,-0.2436553606743
115,BiF5,ADDIonADDI,3,-0.2850553606743
116,BiF5,ADDIonADDI,4,-0.4889553606743
117,BiF5,ADDIonADDI,5,-0.5370553606743
118,BiF5,ADDIonADDI,6,-0.3369553606743
119,BiF5,ADDIonADDI,7,-0.4335553606743
120,BiF5,ADDIonADDI,8,-0.1472553606743
121,BiF5,ADDIonADDI,9,-0.5073553606743
122,BiF5,ADDIonADDI,mean,-0.3279453606743
123,BiF5,ADDIonADDI,min,-0.5370553606743
124,BiF5,ADDIonADDI,max,0.0337446393257
125,BiF5,ADDIonADDI,range,0.5708000000000001
126,BiF5,HFonADDI,0,-0.46871658018669
127,BiF5,HFonADDI,1,-0.49221658018669
128,BiF5,HFonADDI,2,-0.33391658018669
129,BiF5,HFonADDI,3,-0.48401658018669
130,BiF5,HFonADDI,4,-0.47861658018669
131,BiF5,HFonADDI,5,-0.67721658018669
132,BiF5,HFonADDI,6,-0.45941658018669
133,BiF5,HFonADDI,7,-0.42941658018669
134,BiF5,HFonADDI,8,-0.48051658018669
135,BiF5,HFonADDI,9,-0.48581658018669
136,BiF5,HFonADDI,mean,-0.47898658018669
137,BiF5,HFonADDI,min,-0.67721658018669
138,BiF5,HFonADDI,max,-0.33391658018669
139,BiF5,HFonADDI,range,0.34329999999999994
140,BiF5,ADDIonHF,0,-1.6149553606743
141,BiF5,ADDIonHF,1,-0.1967553606743
142,BiF5,ADDIonHF,2,0.0516446393257
143,BiF5,ADDIonHF,3,6.0060446393257
144,BiF5,ADDIonHF,4,-0.7436553606743
145,BiF5,ADDIonHF,5,-0.0148553606743
146,BiF5,ADDIonHF,6,-0.7428553606743
147,BiF5,ADDIonHF,7,-1.8799553606743
148,BiF5,ADDIonHF,8,-1.3371553606743
149,BiF5,ADDIonHF,9,-1.9779553606743
150,BiF5,ADDIonHF,mean,-0.24504536067429994
151,BiF5,ADDIonHF,min,-1.9779553606743
152,BiF5,ADDIonHF,max,6.0060446393257
153,BiF5,ADDIonHF,range,7.984
154,BiF5,bareSurface,0,-1.8855553606743
155,BiF5,bareSurface,1,-2.0937553606743
156,BiF5,bareSurface,2,-1.9906553606743
157,BiF5,bareSurface,3,-2.0337553606743
158,BiF5,bareSurface,4,-1.9384553606743
159,BiF5,bareSurface,5,-2.0913553606743
160,BiF5,bareSurface,6,-2.0702553606743
161,BiF5,bareSurface,7,-1.9680553606743
162,BiF5,bareSurface,8,-1.3102553606743
163,BiF5,bareSurface,9,-2.1396553606743
164,BiF5,bareSurface,mean,-1.9521753606743004
165,BiF5,bareSurface,min,-2.1396553606743
166,BiF5,bareSurface,max,-1.3102553606743
167,BiF5,bareSurface,range,0.8294000000000001
168,BrF5,ADDIonADDI,0,-0.1958485877975
169,BrF5,ADDIonADDI,1,-0.0021485877975
170,BrF5,ADDIonADDI,2,-0.0155485877975
171,BrF5,ADDIonADDI,3,0.0809514122025
172,BrF5,ADDIonADDI,4,0.1398514122025
173,BrF5,ADDIonADDI,5,0.0116514122025
174,BrF5,ADDIonADDI,6,-0.0036485877975
175,BrF5,ADDIonADDI,7,-0.0516485877975
176,BrF5,ADDIonADDI,8,-0.0006485877975
177,BrF5,ADDIonADDI,9,0.0441514122025
178,BrF5,ADDIonADDI,mean,0.0007114122024999995
179,BrF5,ADDIonADDI,min,-0.1958485877975
180,BrF5,ADDIonADDI,max,0.1398514122025
181,BrF5,ADDIonADDI,range,0.3357
182,BrF5,HFonADDI,0,-0.41881658018669
183,BrF5,HFonADDI,1,-0.38951658018669
184,BrF5,HFonADDI,2,-0.42511658018669
185,BrF5,HFonADDI,3,-0.44121658018669
186,BrF5,HFonADDI,4,-0.42951658018669
187,BrF5,HFonADDI,5,-0.41171658018669
188,BrF5,HFonADDI,6,-0.39371658018669
189,BrF5,HFonADDI,7,-0.15771658018669
190,BrF5,HFonADDI,8,-0.35961658018669
191,BrF5,HFonADDI,9,-0.40761658018669
192,BrF5,HFonADDI,mean,-0.38345658018669004
193,BrF5,HFonADDI,min,-0.44121658018669
194,BrF5,HFonADDI,max,-0.15771658018669
195,BrF5,HFonADDI,range,0.28350000000000003
196,BrF5,ADDIonHF,0,-0.9201485877975
197,BrF5,ADDIonHF,1,-0.3055485877975
198,BrF5,ADDIonHF,2,-0.1073485877975
199,BrF5,ADDIonHF,3,7.2323514122025
200,BrF5,ADDIonHF,4,-0.1261485877975
201,BrF5,ADDIonHF,5,-0.6573485877975
202,BrF5,ADDIonHF,6,4.6315514122025
203,BrF5,ADDIonHF,7,-0.8171485877975
204,BrF5,ADDIonHF,8,-0.2333485877975
205,BrF5,ADDIonHF,9,-0.0205485877975
206,BrF5,ADDIonHF,mean,0.8676314122025
207,BrF5,ADDIonHF,min,-0.9201485877975
208,BrF5,ADDIonHF,max,7.2323514122025
209,BrF5,ADDIonHF,range,8.1525
210,BrF5,bareSurface,0,-0.8586485877975
211,BrF5,bareSurface,1,-0.8944485877975
212,BrF5,bareSurface,2,-0.9269485877975
213,BrF5,bareSurface,3,-0.8923485877975
214,BrF5,bareSurface,4,-0.8212485877975
215,BrF5,bareSurface,5,-0.8624485877975
216,BrF5,bareSurface,6,-0.7387485877975
217,BrF5,bareSurface,7,-1.1471485877975
218,BrF5,bareSurface,8,-0.9365485877975
219,BrF5,bareSurface,9,-0.4760485877975
220,BrF5,bareSurface,mean,-0.8554585877975001
221,BrF5,bareSurface,min,-1.1471485877975
222,BrF5,bareSurface,max,-0.4760485877975
223,BrF5,bareSurface,range,0.6711
224,C2I2F4,ADDIonADDI,0,-0.3455421388457
225,C2I2F4,ADDIonADDI,1,-0.5809421388457
226,C2I2F4,ADDIonADDI,2,-0.1826421388457
227,C2I2F4,ADDIonADDI,3,-0.3215421388457
228,C2I2F4,ADDIonADDI,4,-0.4215421388457
229,C2I2F4,ADDIonADDI,5,-1.1136421388457
230,C2I2F4,ADDIonADDI,6,-0.0965421388457
231,C2I2F4,ADDIonADDI,7,-0.3353421388457
232,C2I2F4,ADDIonADDI,8,1.5821578611543
