    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      56        -721.0562        3528.0932        1229.3666        1082.3948        1024.8578        1580.8474          16.9033         -98.8427          -0.5842
      57        -721.0643        3528.0932        1217.4741        1053.1970        1018.7991        1580.4261          21.8646         -83.6727          16.6609
      58        -721.0739        3528.0932        1184.0261        1047.5620        1006.4604        1498.0559          23.9498         -52.9774           8.9292
      59        -721.0844        3528.0932        1130.2264         993.0794        1017.3140        1380.2860          23.0107         -82.5645         -14.1044
      60        -721.0929        3528.0932        1062.9418        1008.4827         915.0375        1265.3051         -10.4352         -73.4886         -38.0955
      61        -721.0984        3528.0932        1068.8414         978.5143         960.5147        1267.4954           6.4312         -90.1545         -32.7491
      62        -721.0956        3528.0932        1085.0765         962.6494        1016.9443        1275.6356          26.5839         -98.6046         -22.9857
      63        -721.0972        3528.0932        1083.4200         967.1218        1006.1906        1276.9476          23.5549         -94.5887         -22.8333
      64        -721.0990        3528.0932        1081.0402         975.9514         987.6896        1279.4792          18.1928         -87.2075         -22.5065
      65        -721.0998        3528.0932        1079.2230         988.3677         966.3269        1282.9744          11.8463         -77.8560         -21.8406
      66        -721.0999        3528.0932        1079.2775         988.3199         966.5371        1282.9756          11.9440         -77.9508         -21.7604
      67        -721.0999        3528.0932        1079.4579         988.3085         966.9487        1283.1162          12.1123         -78.1194         -21.6030
      68        -721.1000        3528.0932        1079.6578         988.2598         967.5405        1283.1732          12.3363         -78.3523         -21.3596
      69        -721.1001        3528.0932        1079.9058         988.1784         968.2280        1283.3110          12.6266         -78.6159         -21.0461
      70        -721.1002        3528.0932        1080.2362         988.1901         969.0364        1283.4821          12.9532         -78.8990         -20.6766
      71        -721.1003        3528.0932        1080.5804         988.2582         969.8341        1283.6488          13.2687         -79.1794         -20.2727
      72        -721.1005        3528.0932        1080.9078         988.3629         970.5133        1283.8472          13.5857         -79.4113         -19.8073
      73        -721.1006        3528.0932        1081.2734         988.6232         971.1372        1284.0598          13.8864         -79.5560         -19.3017
      74        -721.1009        3528.0932        1081.6058         989.0308         971.5444        1284.2423          14.1270         -79.5598         -18.7108
      75        -721.1012        3528.0932        1081.8209         989.5974         971.5417        1284.3237          14.3167         -79.3811         -18.0953
      76        -721.1016        3528.0932        1081.9082         990.4299         971.0733        1284.2213          14.3652         -78.9513         -17.4555
      77        -721.1021        3528.0932        1081.6803         991.3810         970.0115        1283.6486          14.2593         -78.2664         -16.8492
      78        -721.1027        3528.0932        1081.0836         992.4452         968.4424        1282.3635          14.0388         -77.3723         -16.3022
      79        -721.1033        3528.0932        1079.8812         993.2357         966.5848        1279.8232          13.7686         -76.4785         -15.8639
      80        -721.1042        3528.0932        1077.9608         993.4868         964.8049        1275.5905          13.5907         -75.8865         -15.6213
      81        -721.1053        3528.0932        1075.1005         992.8633         963.4251        1269.0127          13.5589         -75.9176         -15.6298
      82        -721.1067        3528.0932        1071.1372         991.2735         962.4507        1259.6876          13.6829         -76.6642         -15.9728
      83        -721.1083        3528.0932        1065.8768         988.9610         961.2193        1247.4501          13.6343         -77.8278         -16.7383
      84        -721.1102        3528.0932        1059.2701         986.5034         958.7344        1232.5728          13.0680         -78.6445         -17.9972
      85        -721.1126        3528.0932        1051.3719         984.0973         954.8831        1215.1354          12.0068         -78.4431         -19.6468
      86        -721.1155        3528.0932        1042.4994         981.1723         951.7233        1194.6027          11.2156         -77.3398         -21.2845
      87        -721.1190        3528.0932        1032.7017         976.7048         951.2557        1170.1447          11.7500         -76.0864         -22.3960
