    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0       -1012.2336        4928.2438         703.0239         557.7153        1007.0952         544.2612           8.2843         324.2101        -146.9834
       1       -1012.2423        4928.2438         792.2224         674.8075        1133.6022         568.2573         -75.8203         311.2720        -158.5927
       2       -1012.2509        4928.2438         882.8630         772.3807        1277.3744         598.8340        -146.2963         294.3096        -176.5664
       3       -1012.2650        4928.2438         879.3133         723.9081        1302.3043         611.7276        -108.9734         281.3382        -181.7955
       4       -1012.2794        4928.2438         814.4782         622.7817        1222.9277         597.7250         -33.0328         267.3962        -150.9384
       5       -1012.2948        4928.2438         785.4319         626.8375        1160.9611         568.4971         -38.7965         253.1051         -98.3539
       6       -1012.3087        4928.2438         807.5988         720.6717        1164.9487         537.1761        -114.6561         252.8116         -64.6795
       7       -1012.3221        4928.2438         791.2816         721.6045        1147.9312         504.3091        -117.3685         270.2797         -60.7830
       8       -1012.3347        4928.2438         716.3071         601.6775        1088.3489         458.8948         -38.9336         290.4373         -55.5409
       9       -1012.3477        4928.2438         701.3567         587.9542        1111.0144         405.1015         -90.7431         315.6819         -40.4404
      10       -1012.3591        4928.2438         702.1328         625.5874        1106.8381         373.9729        -193.7900         332.4920         -23.1600
      11       -1012.3682        4928.2438         577.1979         451.8435         916.6094         363.1407         -40.1575         260.2734          33.0568
      12       -1012.3719        4928.2438         622.7602         509.1305         987.2162         371.9339         -90.0405         275.4543          10.3144
      13       -1012.3729        4928.2438         693.2855         595.8670        1097.4061         386.5832        -163.8280         297.3783         -25.5685
      14       -1012.3732        4928.2438         689.7351         590.4088        1092.4999         386.2966        -157.8470         295.1587         -24.0327
      15       -1012.3736        4928.2438         683.3463         580.5535        1083.6584         385.8270        -146.8951         291.0228         -21.2798
      16       -1012.3740        4928.2438         675.4239         568.2720        1072.6918         385.3080        -132.8764         285.5363         -17.9139
      17       -1012.3744        4928.2438         667.8683         556.4244        1062.1797         385.0011        -118.5248         279.5261         -14.7986
      18       -1012.3748        4928.2438         662.7112         548.1211        1054.8845         385.1279        -106.9069         274.0000         -12.8800
      19       -1012.3752        4928.2438         661.2048         545.3315        1052.4529         385.8298        -100.0413         269.6835         -12.7532
