10    1.15427    4.01747    0.06984    0.12528    4.83263   10.01297    1.76502    2.32551
20    2.22515    8.86058    0.06742    0.12799   10.24879   22.82744    3.15853    4.07711
30    3.41139   14.45964    0.07299    0.13814   16.63362   37.67078    4.53221    5.82175
40    4.58765   20.79149    0.07151    0.13529   23.49554   54.70905    5.69546    7.38463
50    5.70288   27.46467    0.06783    0.12154   30.50817   72.80444    6.60007    8.72852
60    7.01274   36.10165    0.07626    0.14718   39.43653   96.42020    7.36128    9.75947
70    8.16339   43.42449    0.05980    0.10496   47.96668  116.01180    7.80097   10.81789
80    9.57407   50.90324    0.06271    0.11755   58.04028  135.52268    8.44939   11.89327
90   10.44180   54.01015    0.07114    0.11816   64.56128  142.71963    8.70567   12.49389
100   12.42583   61.78233    0.05205    0.10094   78.37842  161.71501    9.80243   13.08281
