1 : -.47251658018669 eV / 219 steps
2 : -.33371658018669 eV / 122 steps
3 : -.43421658018669 eV / 131 steps
4 : -.39221658018669 eV / 138 steps
5 : -.47351658018669 eV / 245 steps
6 : -.34471658018669 eV / 59 steps
7 : -.48041658018669 eV / 232 steps
8 : -.46231658018669 eV / 169 steps
9 : -.47261658018669 eV / 141 steps
10 : -.39041658018669 eV / 78 steps
11 : -.50031658018669 eV / 210 steps
12 : -.35641658018669 eV / 147 steps
13 : -.49651658018669 eV / 213 steps
14 : -.47591658018669 eV / 269 steps
15 : -.47761658018669 eV / 216 steps
16 : -.48231658018669 eV / 260 steps
17 : -.49351658018669 eV / 224 steps
18 : -.48141658018669 eV / 200 steps
19 : -.49151658018669 eV / 260 steps
20 : -.47791658018669 eV / 209 steps
21 : -.47631658018669 eV / 218 steps
22 : -.38661658018669 eV / 126 steps
23 : -.35211658018669 eV / 125 steps
24 : -.35331658018669 eV / 117 steps
25 : -.48261658018669 eV / 209 steps
26 : -.47411658018669 eV / 224 steps
27 : -.47641658018669 eV / 212 steps
28 : -.38431658018669 eV / 142 steps
29 : -.49551658018669 eV / 225 steps
30 : -.38111658018669 eV / 77 steps
31 : -.49991658018669 eV / 143 steps
32 : -.49951658018669 eV / 198 steps
33 : -.50041658018669 eV / 228 steps
34 : -.47281658018669 eV / 243 steps
35 : -.50001658018669 eV / 176 steps
36 : -.34641658018669 eV / 87 steps
37 : -.49131658018669 eV / 191 steps
38 : -.42501658018669 eV / 187 steps
39 : -.35361658018669 eV / 113 steps
40 : -.49411658018669 eV / 198 steps
41 : -.34801658018669 eV / 116 steps
42 : -.37641658018669 eV / 113 steps
43 : -.50011658018669 eV / 157 steps
44 : -.42581658018669 eV / 143 steps
45 : -.36041658018669 eV / 119 steps
46 : -.36561658018669 eV / 84 steps
47 : -.43181658018669 eV / 193 steps
48 : -.38091658018669 eV / 59 steps
49 : -.47361658018669 eV / 202 steps
50 : -.36931658018669 eV / 92 steps
51 : -.49871658018669 eV / 187 steps
52 : -.49651658018669 eV / 235 steps
53 : -.47311658018669 eV / 208 steps
54 : -.35441658018669 eV / 107 steps
55 : -.47721658018669 eV / 229 steps
56 : -.38571658018669 eV / 31 steps
57 : -.35321658018669 eV / 92 steps
58 : -.36321658018669 eV / 119 steps
59 : -.40471658018669 eV / 217 steps
60 : -.39211658018669 eV / 129 steps
61 : -.38271658018669 eV / 68 steps
62 : -.47131658018669 eV / 233 steps
63 : -.47041658018669 eV / 250 steps
64 : -.37721658018669 eV / 67 steps
65 : -.34981658018669 eV / 153 steps
66 : -.48121658018669 eV / 222 steps
67 : -.47141658018669 eV / 133 steps
68 : -.49731658018669 eV / 200 steps
69 : -.38681658018669 eV / 72 steps
70 : -.33181658018669 eV / 77 steps
71 : -.47201658018669 eV / 241 steps
72 : -.37591658018669 eV / 150 steps
73 : -.35261658018669 eV / 43 steps
74 : -.35161658018669 eV / 80 steps
75 : -.48271658018669 eV / 175 steps
76 : -.38491658018669 eV / 172 steps
77 : -.48301658018669 eV / 155 steps
78 : -.33141658018669 eV / 83 steps
79 : -.38611658018669 eV / 140 steps
80 : -.35571658018669 eV / 106 steps
81 : -.42521658018669 eV / 174 steps
82 : -.36021658018669 eV / 126 steps
83 : -.49551658018669 eV / 176 steps
84 : -.47791658018669 eV / 184 steps
85 : -.38941658018669 eV / 99 steps
86 : -.48371658018669 eV / 262 steps
87 : -.38581658018669 eV / 127 steps
88 : -.36631658018669 eV / 92 steps
89 : -.49541658018669 eV / 234 steps
90 : -.33121658018669 eV / 118 steps
91 : -.38071658018669 eV / 65 steps
92 : -.42621658018669 eV / 183 steps
93 : -.36301658018669 eV / 124 steps
94 : -.49911658018669 eV / 181 steps
95 : -.49611658018669 eV / 255 steps
96 : -.38921658018669 eV / 83 steps
97 : -.38981658018669 eV / 78 steps
98 : -.38591658018669 eV / 115 steps
99 : -.49491658018669 eV / 266 steps
100 : -.36841658018669 eV / 134 steps
