1 : -.36441658018669 eV / 128 steps
2 : -.36371658018669 eV / 122 steps
3 : -.35931658018669 eV / 68 steps
4 : -.17641658018669 eV / 99 steps
5 : -.36081658018669 eV / 102 steps
6 : -.68431658018669 eV / 108 steps
7 : -.36091658018669 eV / 98 steps
8 : -.08921658018669 eV / 69 steps
9 : -.36901658018669 eV / 79 steps
10 : -.36601658018669 eV / 88 steps
11 : -.36541658018669 eV / 102 steps
12 : -.68681658018669 eV / 174 steps
13 : -.36131658018669 eV / 54 steps
14 : -.68671658018669 eV / 176 steps
15 : -.68461658018669 eV / 211 steps
16 : -.36101658018669 eV / 140 steps
17 : -.36431658018669 eV / 37 steps
18 : -.36381658018669 eV / 76 steps
19 : -.36681658018669 eV / 113 steps
20 : -.37381658018669 eV / 139 steps
21 : -.36311658018669 eV / 168 steps
22 : -.68571658018669 eV / 172 steps
23 : -.36101658018669 eV / 84 steps
24 : -.36221658018669 eV / 195 steps
25 : -.68641658018669 eV / 253 steps
26 : -.68561658018669 eV / 119 steps
27 : -.37281658018669 eV / 102 steps
28 : -.36531658018669 eV / 88 steps
29 : -.36191658018669 eV / 143 steps
30 : -.36171658018669 eV / 100 steps
31 : -.37091658018669 eV / 72 steps
32 : -.36241658018669 eV / 121 steps
33 : -.36731658018669 eV / 148 steps
34 : -.04341658018669 eV / 50 steps
35 : -.36181658018669 eV / 93 steps
36 : -.36441658018669 eV / 98 steps
37 : -.36511658018669 eV / 103 steps
38 : -.68681658018669 eV / 216 steps
39 : -.36601658018669 eV / 176 steps
40 : -.36431658018669 eV / 128 steps
41 : -.36041658018669 eV / 179 steps
42 : -.36221658018669 eV / 97 steps
43 : -.68571658018669 eV / 193 steps
44 : -.68671658018669 eV / 130 steps
45 : -.07901658018669 eV / 86 steps
46 : -.68361658018669 eV / 104 steps
47 : -.36721658018669 eV / 103 steps
48 : -.36491658018669 eV / 214 steps
49 : -.36411658018669 eV / 104 steps
50 : -.36191658018669 eV / 149 steps
51 : -.36071658018669 eV / 109 steps
52 : -.36141658018669 eV / 111 steps
53 : -.36441658018669 eV / 109 steps
54 : -.35981658018669 eV / 77 steps
55 : -.36371658018669 eV / 90 steps
56 : -.36381658018669 eV / 204 steps
57 : -.36981658018669 eV / 102 steps
58 : -.36811658018669 eV / 119 steps
59 : -.36311658018669 eV / 109 steps
60 : -.36231658018669 eV / 117 steps
61 : -.68681658018669 eV / 425 steps
62 : -.35951658018669 eV / 68 steps
63 : -.36171658018669 eV / 167 steps
64 : -.08671658018669 eV / 56 steps
65 : -.36171658018669 eV / 77 steps
66 : -.36541658018669 eV / 82 steps
67 : -.08671658018669 eV / 98 steps
68 : -.68621658018669 eV / 243 steps
69 : -.68531658018669 eV / 145 steps
70 : -.36371658018669 eV / 146 steps
71 : -.35841658018669 eV / 53 steps
72 : -.36441658018669 eV / 60 steps
73 : -.36421658018669 eV / 104 steps
74 : -.68681658018669 eV / 137 steps
75 : -.36461658018669 eV / 125 steps
76 : -.36491658018669 eV / 101 steps
77 : -.36281658018669 eV / 109 steps
78 : -.35511658018669 eV / 109 steps
79 : -.36631658018669 eV / 96 steps
80 : -.36271658018669 eV / 111 steps
81 : -.37191658018669 eV / 154 steps
82 : -.68451658018669 eV / 133 steps
83 : -.36451658018669 eV / 171 steps
84 : -.36711658018669 eV / 115 steps
85 : -.36991658018669 eV / 133 steps
86 : -.36181658018669 eV / 95 steps
87 : -.36281658018669 eV / 88 steps
88 : -.00901658018669 eV / 51 steps
89 : -.68481658018669 eV / 158 steps
90 : -.36081658018669 eV / 112 steps
91 : -.68551658018669 eV / 156 steps
92 : -.36311658018669 eV / 117 steps
93 : -.36251658018669 eV / 117 steps
94 : -.36181658018669 eV / 73 steps
95 : -.36241658018669 eV / 170 steps
96 : -.36331658018669 eV / 117 steps
97 : -.36561658018669 eV / 90 steps
98 : -.35981658018669 eV / 116 steps
99 : -.68521658018669 eV / 150 steps
100 : -.36431658018669 eV / 98 steps
