10    1.67068    6.35146    0.07709    0.13924    8.19253   16.11469    2.12164    2.81577
20    3.45185   17.09902    0.06856    0.13039   19.31140   45.32107    3.60396    5.14267
30    4.97047   27.71690    0.07664    0.14070   29.47999   74.53896    4.56282    6.45102
40    6.42426   36.30740    0.07158    0.12394   39.26151   97.60793    5.48649    7.47554
50    7.75806   45.49418    0.07577    0.14435   47.67348  122.81717    6.54188    9.25855
60    8.92744   49.90601    0.07587    0.14480   54.39358  133.77279    7.73600   11.48912
70    9.71936   49.20793    0.07479    0.14649   59.63510  129.48397    8.27064   12.46235
80   10.66105   54.15300    0.07721    0.13553   65.77095  142.47137    8.93804   13.56102
90   12.66318   56.52785    0.06182    0.10606   78.30078  144.73732   10.60275   14.02473
100   15.09241   68.22025    0.06502    0.10987   96.91150  174.02678   11.21738   14.51881
