    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      59        -729.7035        3528.0932         419.7933         739.3126        1193.7542        -673.6868         -55.8615         115.1506          63.7742
      60        -729.7068        3528.0932         416.7643         739.4680        1191.5160        -680.6910         -51.3959         119.0548          58.8915
      61        -729.7109        3528.0932         431.4163         748.6141        1204.2192        -658.5845         -57.8706         101.5089          69.7482
      62        -729.7154        3528.0932         449.9890         758.7960        1221.6809        -630.5100         -64.6300          78.3928          81.4544
      63        -729.7206        3528.0932         443.4938         759.1685        1218.7073        -647.3943         -52.5004          86.6728          68.5032
      64        -729.7263        3528.0932         427.6185         758.0807        1206.5125        -681.7377         -35.6588         107.0431          49.3114
      65        -729.7326        3528.0932         447.4933         765.4204        1226.4072        -649.3477         -43.5500          77.7837          60.6310
      66        -729.7392        3528.0932         456.8958         769.8226        1237.8733        -637.0085         -42.4600          62.4208          61.6462
      67        -729.7454        3528.0932         419.8791         771.3574        1200.0880        -711.8081         -21.5774         115.3518          39.6732
      68        -729.7516        3528.0932         491.2841         781.1040        1281.2775        -588.5289         -35.6493          11.8693          62.0280
      69        -729.7542        3528.0932         373.5454         785.7681        1146.3271        -811.4589         -13.7268         189.0074          40.5125
      70        -729.7578        3528.0932         438.6520         785.7708        1223.3604        -693.1750         -21.5885          92.0408          49.1734
      71        -729.7560        3528.0932         524.0706         786.2321        1324.6367        -538.6572         -31.5259         -34.6376          59.6193
      72        -729.7568        3528.0932         509.6137         786.4146        1307.4348        -565.0082         -29.9918         -12.8705          57.8017
      73        -729.7578        3528.0932         484.3357         786.7451        1277.3092        -611.0471         -27.3204          25.2261          54.6264
      74        -729.7582        3528.0932         454.3611         787.1872        1241.6046        -665.7084         -24.2311          70.4485          50.8773
      75        -729.7582        3528.0932         454.5534         787.1865        1241.8353        -665.3616         -24.2594          70.1826          50.9038
      76        -729.7582        3528.0932         454.9280         787.1850        1242.2770        -664.6779         -24.3162          69.6220          50.9580
      77        -729.7582        3528.0932         455.4873         787.2421        1242.9274        -663.7074         -24.4091          68.8329          51.0057
      78        -729.7583        3528.0932         456.1656         787.2717        1243.7291        -662.5042         -24.5196          67.8763          51.0945
      79        -729.7582        3528.0932         456.8900         787.3110        1244.5842        -661.2254         -24.6573          66.8138          51.1808
      80        -729.7583        3528.0932         457.6664         787.3639        1245.4901        -659.8548         -24.8134          65.7126          51.2477
      81        -729.7583        3528.0932         458.3897         787.4107        1246.3307        -658.5723         -24.9685          64.6751          51.3377
      82        -729.7584        3528.0932         459.0939         787.4748        1247.1692        -657.3624         -25.1218          63.7102          51.4493
      83        -729.7584        3528.0932         459.6582         787.5405        1247.8286        -656.3947         -25.2903          62.9546          51.4997
      84        -729.7585        3528.0932         459.9619         787.6469        1248.1353        -655.8965         -25.4486          62.5950          51.5362
