10    1.77483    5.73618    0.09669    0.18449    7.87457   14.05630    2.55696    3.04003
20    4.07817   15.47605    0.10159    0.26464   20.24932   39.39003    5.24472    6.17074
30    6.70728   27.78663    0.11512    0.36418   35.73207   71.59860    7.75430    9.54224
40    9.49962   41.81110    0.13024    0.43975   52.41426  108.74720   10.32297   12.93343
50   12.37965   57.32808    0.14525    0.51743   70.13458  149.97189   12.76774   17.09615
60   15.38543   75.64903    0.15897    0.56618   89.84575  199.63446   14.83611   19.85586
70   18.56200   97.57773    0.18337    0.64015  111.57623  260.02448   16.64328   21.26841
80   21.02200  112.43791    0.18191    0.63792  128.49063  300.22765   18.04752   21.31705
90   23.04821  124.15747    0.16419    0.59620  142.21285  331.81921   19.31967   20.88846
100   24.82344  130.56452    0.15242    0.59004  150.86267  348.46169   21.77610   22.20800
