    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -729.4962        3528.0932         454.9635         756.5462        1161.6130        -553.2688          -7.8325          38.3008          -8.4187
       1        -729.4966        3528.0932         460.4636         777.6402        1160.1049        -556.3544         -25.4198          45.4021           6.6737
       2        -729.4969        3528.0932         463.2656         800.4415        1152.1261        -562.7708         -42.9710          63.2827          22.1206
       3        -729.4974        3528.0932         458.7799         807.1854        1138.1310        -568.9769         -43.4132          89.9546          23.1804
       4        -729.4981        3528.0932         457.5824         806.3088        1132.1196        -565.6813         -33.9103         110.9598          14.7507
       5        -729.4990        3528.0932         472.1588         817.4158        1147.3655        -548.3049         -35.0983         110.8854          13.6596
       6        -729.5000        3528.0932         492.9163         835.0572        1172.4341        -528.7424         -49.9943          94.0396          23.7497
       7        -729.5011        3528.0932         491.9909         828.9948        1175.9957        -529.0179         -58.4243          83.1689          30.3833
       8        -729.5027        3528.0932         457.8847         786.9838        1144.0920        -557.4218         -49.3769          90.6874          25.2917
       9        -729.5046        3528.0932         424.7135         750.9877        1112.0917        -588.9390         -47.3698          96.9782          26.6445
      10        -729.5070        3528.0932         429.8320         756.8122        1123.5278        -590.8439         -63.9221          81.9879          42.1363
      11        -729.5100        3528.0932         431.9883         747.6676        1134.0867        -585.7895         -42.5310          88.3899          29.3873
      12        -729.5138        3528.0932         461.1698         786.5130        1166.5511        -569.5549         -63.5326          87.9126          52.4035
      13        -729.5184        3528.0932         416.0348         760.2405        1111.4189        -623.5551         -33.5324         151.2660          26.4535
      14        -729.5224        3528.0932         509.9608         849.8270        1228.3032        -548.2475        -138.7151          59.0402         108.1690
      15        -729.5067        3528.0932         212.5132         555.1016         882.2107        -799.7728         176.5941         324.1700        -138.1856
      16        -729.5318        3528.0932         445.6969         772.9586        1167.8711        -603.7390         -88.1183          92.4548          73.1959
      17        -729.5320        3528.0932         438.2636         766.6148        1158.4132        -610.2372         -80.7665         100.1473          67.5237
      18        -729.5322        3528.0932         425.7802         756.0990        1142.4514        -621.2099         -68.6390         113.1230          58.2761
      19        -729.5325        3528.0932         412.7560         745.4901        1125.6453        -632.8674         -56.4848         126.8604          49.2169
      20        -729.5327        3528.0932         404.1753         739.1715        1114.2631        -640.9088         -49.4538         136.2810          44.3596
      21        -729.5330        3528.0932         402.5234         739.1002        1111.4546        -642.9846         -49.8231         138.7584          45.5463
      22        -729.5334        3528.0932         407.6205         744.8190        1117.1948        -639.1525         -57.1588         134.4241          52.3361
      23        -729.5340        3528.0932         416.8507         753.6846        1128.3201        -631.4526         -68.4029         125.7111          62.2587
      24        -729.5345        3528.0932         426.1155         761.7944        1139.7393        -623.1873         -79.0510         116.7742          71.7712
      25        -729.5353        3528.0932         428.5589         763.1757        1142.8650        -620.3640         -81.8480         114.4067          74.9852
      26        -729.5364        3528.0932         420.7518         755.3267        1133.2252        -626.2966         -73.8718         122.0935          69.2959
      27        -729.5376        3528.0932         408.0412         743.8459        1117.5541        -637.2765         -62.2731         134.1061          60.2024
      28        -729.5392        3528.0932         404.4645         740.9393        1113.7161        -641.2618         -63.2708         135.7717          60.6685
      29        -729.5411        3528.0932         413.6249         748.4709        1126.7407        -634.3369         -80.4002         123.1213          73.7182
      30        -729.5436        3528.0932         414.2557         747.8185        1128.8578        -633.9092         -88.1971         119.1159          79.7590
      31        -729.5466        3528.0932         395.5814         731.7578        1105.5981        -650.6119         -71.7377         136.9676          67.5688
      32        -729.5503        3528.0932         401.4324         734.6759        1116.5707        -646.9493         -76.1710         129.8305          73.0670
      33        -729.5549        3528.0932         418.0856         744.7823        1145.1586        -635.6841         -92.4428         112.3002          89.3845
      34        -729.5604        3528.0932         376.4507         720.4110        1089.8328        -680.8917         -58.2038         160.9027          65.9725
      35        -729.5673        3528.0932         425.7229         748.4614        1168.2758        -639.5685        -118.7086          97.3467         116.5503
      36        -729.5732        3528.0932         294.4570         685.4159         967.2188        -769.2637         -15.4581         257.1699          35.5109
      37        -729.5771        3528.0932         369.8571         718.4349        1086.9302        -695.7938         -80.6700         161.5832          87.4107
      38        -729.5753        3528.0932         455.9242         754.9649        1224.2756        -611.4678        -155.0145          51.8355         146.6344
      39        -729.5765        3528.0932         436.9855         746.8914        1194.1414        -630.0763        -139.0530          75.9958         133.9691
      40        -729.5779        3528.0932         404.4978         733.0235        1142.4608        -661.9910        -111.7568         117.4365         112.2886
      41        -729.5784        3528.0932         367.4933         717.2426        1083.5616        -698.3242         -80.8575         164.6628          87.8051
      42        -729.5784        3528.0932         368.1292         717.4957        1084.5826        -697.6907         -81.4407         163.8298          88.2778
      43        -729.5784        3528.0932         369.4139         718.0071        1086.6737        -696.4391         -82.5948         162.1877          89.2146
      44        -729.5785        3528.0932         371.2284         718.7343        1089.5745        -694.6234         -84.2168         159.8634          90.5219
      45        -729.5786        3528.0932         373.4669         719.6611        1093.1445        -692.4050         -86.2135         157.0119          92.1254
      46        -729.5787        3528.0932         375.9101         720.6290        1097.0935        -689.9922         -88.4280         153.8505          93.9291
      47        -729.5789        3528.0932         378.3936         721.6010        1101.0883        -687.5086         -90.6913         150.6965          95.7553
      48        -729.5790        3528.0932         380.6781         722.5147        1104.7606        -685.2411         -92.8021         147.8057          97.4862
      49        -729.5791        3528.0932         382.6404         723.2126        1107.9948        -683.2862         -94.7420         145.2162          99.0791
      50        -729.5794        3528.0932         384.0205         723.6779        1110.2961        -681.9124         -96.2236         143.4100         100.3325
      51        -729.5797        3528.0932         384.3910         723.6926        1111.0140        -681.5335         -96.9544         142.9064         101.0037
      52        -729.5800        3528.0932         383.4185         723.1523        1109.6132        -682.5097         -96.6730         144.0866         100.8665
      53        -729.5804        3528.0932         380.9994         721.9800        1105.9556        -684.9375         -95.3058         147.1335          99.9101
      54        -729.5811        3528.0932         377.4534         720.3593        1100.5172        -688.5162         -93.1846         151.6110          98.4147
      55        -729.5817        3528.0932         373.7328         718.6390        1094.8384        -692.2792         -91.1477         156.3070          97.0055
      56        -729.5825        3528.0932         371.2880         717.4120        1091.2367        -694.7847         -90.3876         159.3772          96.6059
      57        -729.5836        3528.0932         371.2605         717.0438        1091.6796        -694.9418         -91.8589         159.1970          98.1149
      58        -729.5849        3528.0932         373.6871         717.4479        1096.2302        -692.6169         -95.5673         155.8025         101.4392
      59        -729.5864        3528.0932         376.2885         717.7665        1101.2208        -690.1218         -99.6093         152.1050         105.1491
      60        -729.5884        3528.0932         375.1182         716.5765        1100.3147        -691.5368        -101.0745         153.1596         106.8873
      61        -729.5908        3528.0932         368.9533         713.6997        1091.4933        -698.3331         -99.2308         160.7044         106.1273
      62        -729.5939        3528.0932         363.0386         710.8652        1083.2985        -705.0480         -98.1956         167.8599         106.1703
      63        -729.5977        3528.0932         363.7171         709.8828        1086.3834        -705.1149        -102.3322         165.9314         110.5099
      64        -729.6023        3528.0932         365.3092         708.6132        1091.6810        -704.3667        -107.2631         162.3341         115.6500
      65        -729.6080        3528.0932         355.7264         704.6390        1078.7814        -716.2411        -105.5173         173.5140         115.7338
      66        -729.6152        3528.0932         350.8503         701.5744        1074.5216        -723.5452        -106.9829         177.7496         118.6877
      67        -729.6240        3528.0932         354.9392         699.4332        1086.7834        -721.3990        -112.3496         168.4035         125.0550
      68        -729.6348        3528.0932         333.6549         695.2411        1055.3325        -749.6089        -107.2830         195.0968         123.5858
      69        -729.6478        3528.0932         370.3664         696.1005        1126.5338        -711.5351        -118.3204         139.0085         135.5725
      70        -729.6597        3528.0932         234.8803         672.4969         898.2435        -866.0996        -128.4261         320.4419         144.9631
      71        -729.6559        3528.0932         573.8906         664.6829        1519.4485        -462.4595        -122.6313        -188.0269         145.9489
      72        -729.6819        3528.0932         248.1759         663.8057         930.3021        -849.5802        -157.0664         295.6245         174.3588
      73        -729.6832        3528.0932         266.6307         663.9489         963.7504        -827.8073        -155.1739         268.2781         172.7635
      74        -729.6846        3528.0932         299.3540         664.2751        1023.0560        -789.2692        -151.6691         219.7937         169.8455
      75        -729.6851        3528.0932         337.5555         664.7569        1092.6346        -744.7252        -147.2242         163.4473         166.1727
      76        -729.6851        3528.0932         336.1063         664.7899        1089.9886        -746.4597        -147.3889         165.6463         166.3035
      77        -729.6852        3528.0932         333.3360         664.8607        1084.9553        -749.8079        -147.6743         169.8360         166.5405
      78        -729.6854        3528.0932         329.4655         664.9576        1077.8899        -754.4509        -148.0658         175.7057         166.8933
      79        -729.6855        3528.0932         324.8709         665.0654        1069.5336        -759.9861        -148.5300         182.6332         167.2926
      80        -729.6857        3528.0932         320.0495         665.2699        1060.7249        -765.8462        -149.0186         189.9938         167.7359
      81        -729.6860        3528.0932         315.5326         665.4781        1052.4781        -771.3586        -149.4712         196.9154         168.1390
      82        -729.6862        3528.0932         311.8387         665.7443        1045.7389        -775.9672        -149.8284         202.6649         168.4758
      83        -729.6865        3528.0932         309.1976         666.0769        1040.8867        -779.3708        -150.0642         206.9074         168.7470
      84        -729.6870        3528.0932         308.2766         666.4854        1039.1525        -780.8079        -150.0711         208.6655         168.7983
      85        -729.6875        3528.0932         309.6707         667.0284        1041.5959        -779.6122        -149.7501         207.0666         168.6474
      86        -729.6881        3528.0932         313.6867         667.6827        1048.8029        -775.4254        -149.0228         201.7001         168.1409
      87        -729.6890        3528.0932         319.8364         668.4434        1059.8741        -768.8084        -147.9018         193.2307         167.3769
      88        -729.6899        3528.0932         326.5492         669.4183        1071.9237        -761.6943        -146.5136         184.0527         166.4148
      89        -729.6912        3528.0932         331.1880         670.6597        1080.1284        -757.2240        -145.2493         178.1557         165.5783
      90        -729.6926        3528.0932         331.3086         672.1691        1080.0333        -758.2765        -144.4926         179.1476         165.2537
      91        -729.6945        3528.0932         326.8605         673.9463        1071.6178        -764.9827        -144.3820         187.0948         165.5182
      92        -729.6965        3528.0932         322.2293         676.1501        1062.7188        -772.1808        -144.2368         195.5054         165.8344
      93        -729.6992        3528.0932         324.2041         678.7532        1065.7928        -771.9338        -142.5432         194.1071         164.9359
      94        -729.7023        3528.0932         334.9810         682.0175        1084.5970        -761.6715        -138.2820         179.7329         161.9912
      95        -729.7059        3528.0932         344.8321         685.9110        1101.5115        -752.9261        -133.2711         166.6886         158.5098
      96        -729.7103        3528.0932         342.0991         690.0347        1095.6670        -759.4044        -131.1224         172.0861         157.4637
      97        -729.7151        3528.0932         340.9946         694.5463        1092.9150        -764.4777        -128.1795         174.4306         155.8202
      98        -729.7205        3528.0932         359.8496         700.3920        1125.7271        -746.5703        -116.6797         146.4319         147.1150
      99        -729.7264        3528.0932         359.1609         705.0438        1124.3468        -751.9080        -112.1430         146.3033         144.1519
     100        -729.7325        3528.0932         369.8744         710.9681        1143.3416        -744.6863        -101.5529         128.8303         136.4753
     101        -729.7385        3528.0932         382.5363         717.9846        1165.5605        -735.9362         -88.5580         109.8502         126.9442
     102        -729.7440        3528.0932         376.2637         723.2723        1157.6102        -752.0916         -88.8605         120.2923         129.2976
     103        -729.7468        3528.0932         470.1518         760.6101        1305.9741        -656.1288         -10.4728           4.1544          64.7372
     104        -729.7490        3528.0932         401.5312         738.7911        1198.0011        -732.1988         -67.5837          95.1750         112.3650
     105        -729.7490        3528.0932         402.5426         739.2662        1199.5778        -731.2161         -66.8571          93.9014         111.7566
     106        -729.7490        3528.0932         404.2944         740.1462        1202.3168        -729.5798         -65.6006          91.6776         110.7205
     107        -729.7490        3528.0932         406.2608         741.1458        1205.3884        -727.7517         -64.1964          89.2216         109.5808
     108        -729.7491        3528.0932         407.8129         741.9803        1207.7695        -726.3111         -63.1452          87.3317         108.6605
     109        -729.7491        3528.0932         408.4680         742.4466        1208.6643        -725.7067         -62.7936          86.7087         108.2657
     110        -729.7493        3528.0932         408.0603         742.4076        1207.8578        -726.0844         -63.2393          87.5044         108.4958
     111        -729.7494        3528.0932         406.8154         741.9999        1205.6965        -727.2503         -64.3084          89.4322         109.1925
     112        -729.7495        3528.0932         405.2010         741.3931        1202.9414        -728.7315         -65.6473          91.8840         109.9851
     113        -729.7496        3528.0932         404.1556         740.9645        1201.1095        -729.6072         -66.4477          93.5260         110.3434
     114        -729.7498        3528.0932         404.6917         741.2157        1201.8333        -728.9737         -66.0074          93.0294         109.6080
     115        -729.7500        3528.0932         406.7690         742.2161        1205.0648        -726.9739         -64.4253          90.4227         107.9417
     116        -729.7504        3528.0932         408.5261         743.1961        1207.8704        -725.4882         -63.1764          88.2080         106.5428
     117        -729.7507        3528.0932         407.7452         743.1174        1206.6154        -726.4972         -64.0455          89.5058         106.7716
     118        -729.7512        3528.0932         405.6064         742.4094        1203.0203        -728.6103         -65.9808          92.7848         107.6618
     119        -729.7517        3528.0932         407.0796         743.2904        1205.0541        -727.1057         -65.0197          91.6343         106.1565
     120        -729.7524        3528.0932         410.9362         745.6792        1211.0676        -723.9382         -62.6544          87.5750         103.3735
     121        -729.7532        3528.0932         408.5049         745.7932        1207.3907        -727.6692         -65.8167          92.1359         105.0823
     122        -729.7543        3528.0932         410.8755         747.2479        1211.1074        -725.7288         -65.0993          90.8432         103.6776
     123        -729.7555        3528.0932         412.7195         749.9589        1214.5409        -726.3414         -65.8934          90.5002         103.1680
     124        -729.7570        3528.0932         410.4091         750.2972        1210.3370        -729.4070         -70.5668          96.9476         104.9891
     125        -729.7587        3528.0932         427.9661         761.4850        1238.7573        -716.3442         -59.9382          75.8241          94.4450
     126        -729.7598        3528.0932         367.1794         734.7266        1139.4963        -772.6848        -112.4852         161.9984         134.8308
     127        -729.7610        3528.0932         421.5081         759.7092        1227.1663        -722.3513         -69.0180          88.6717          99.4169
     128        -729.7611        3528.0932         420.1904         759.3110        1225.0989        -723.8386         -70.1241          90.4012         100.3371
     129        -729.7611        3528.0932         418.0169         758.6824        1221.6671        -726.2988         -71.9848          93.3416         101.8549
     130        -729.7611        3528.0932         415.6668         758.0079        1217.9805        -728.9879         -74.0044          96.5081         103.5289
     131        -729.7612        3528.0932         414.0545         757.6089        1215.4496        -730.8949         -75.4646          98.7275         104.7260
     132        -729.7613        3528.0932         413.7974         757.7236        1214.9763        -731.3079         -75.8933          99.2537         105.0477
     133        -729.7614        3528.0932         414.9525         758.2853        1216.7169        -730.1448         -75.2172          97.9611         104.4015
     134        -729.7615        3528.0932         416.9859         759.0871        1219.8470        -727.9764         -73.8096          95.5139         103.1529
     135        -729.7616        3528.0932         419.1678         759.8716        1223.2356        -725.6038         -72.3007          92.8401         101.8153
     136        -729.7618        3528.0932         420.0844         760.2356        1224.6289        -724.6113         -71.8488          91.8011         101.2934
     137        -729.7620        3528.0932         418.7628         759.8661        1222.5919        -726.1697         -73.2806          93.6446         102.2371
     138        -729.7622        3528.0932         415.9939         759.1201        1218.3560        -729.4944         -75.9033          97.3270         104.1591
     139        -729.7626        3528.0932         414.8538         759.0601        1216.7421        -731.2407         -77.3433          98.8761         105.0779
     140        -729.7629        3528.0932         417.2807         760.2248        1220.7416        -729.1243         -76.0550          95.9168         103.6798
     141        -729.7634        3528.0932         419.6190         761.2648        1224.5099        -726.9176         -75.0815          93.3078         102.4147
     142        -729.7641        3528.0932         416.8477         760.8527        1220.2515        -730.5611         -78.5435          97.7497         104.7542
     143        -729.7649        3528.0932         415.6784         761.4845        1218.7480        -733.1974         -81.0199         100.2731         106.3176
     144        -729.7658        3528.0932         420.7289         764.2060        1227.0881        -729.1075         -78.7299          94.8175         103.7918
     145        -729.7671        3528.0932         413.8449         762.3894        1216.8065        -737.6613         -86.4196         105.3135         109.3746
     146        -729.7685        3528.0932         423.6003         767.8446        1233.1785        -730.2222         -81.5536          94.1207         104.4718
     147        -729.7703        3528.0932         399.0359         758.8139        1195.6368        -757.3431        -104.3400         128.2570         122.1696
     148        -729.7716        3528.0932         463.4182         785.9337        1299.0233        -694.7023         -57.7661          45.8342          82.4184
     149        -729.7729        3528.0932         411.4002         765.4135        1217.2191        -748.4320         -98.9043         113.9242         116.4871
     150        -729.7729        3528.0932         411.9445         765.6207        1218.0439        -747.8311         -98.5312         113.2941         116.1536
     151        -729.7729        3528.0932         412.8250         765.8768        1219.4410        -746.8430         -97.9093         112.1933         115.6146
     152        -729.7731        3528.0932         413.8131         766.2221        1220.9648        -745.7476         -97.2487         111.0200         115.0484
     153        -729.7731        3528.0932         414.5250         766.4255        1222.1056        -744.9560         -96.8560         110.2213         114.7030
     154        -729.7733        3528.0932         414.6826         766.4426        1222.4139        -744.8088         -96.9402         110.1530         114.7275
     155        -729.7734        3528.0932         414.1819         766.3009        1221.7195        -745.4747         -97.5892         110.9457         115.2548
     156        -729.7735        3528.0932         413.1588         765.9493        1220.2710        -746.7440         -98.6672         112.3508         116.1259
     157        -729.7737        3528.0932         411.7734         765.4617        1218.3500        -748.4916        -100.1146         114.1751         117.2718
     158        -729.7739        3528.0932         410.6046         765.0294        1216.8137        -750.0294        -101.4040         115.7163         118.3348
     159        -729.7742        3528.0932         410.0785         764.7687        1216.4019        -750.9351        -102.2112         116.2848         118.9553
     160        -729.7745        3528.0932         410.2031         764.6023        1217.1095        -751.1025        -102.5613         115.9446         119.1418
     161        -729.7750        3528.0932         409.8522         764.0538        1217.2858        -751.7829        -103.2853         116.1139         119.6824
     162        -729.7756        3528.0932         407.7565         762.8835        1214.8953        -754.5092        -105.5362         118.5137         121.4943
     163        -729.7764        3528.0932         404.3513         761.3118        1210.7183        -758.9761        -109.0030         122.5454         124.3835
     164        -729.7775        3528.0932         402.1287         760.2729        1208.6942        -762.5809        -111.7783         125.1443         126.6878
     165        -729.7787        3528.0932         400.5947         759.4426        1207.9393        -765.5977        -114.2092         127.0148         128.7575
     166        -729.7804        3528.0932         394.9525         756.8902        1201.2213        -773.2539        -120.2239         134.2976         133.8698
     167        -729.7827        3528.0932         389.4861         754.6061        1194.9365        -781.0845        -126.7914         141.3735         139.6014
