    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -729.4066        3528.0932         529.3333         770.8960        1294.7723        -477.6684          13.3833         -51.2049         -74.7618
       1        -729.4066        3528.0932         526.9812         767.4066        1296.3733        -482.8362          11.7268         -53.6399         -79.3905
       2        -729.4067        3528.0932         522.0950         760.2938        1296.3412        -490.3502           7.7931         -57.3633         -86.8077
       3        -729.4068        3528.0932         515.5096         750.4856        1292.2244        -496.1813           1.4707         -61.1424         -94.2690
       4        -729.4070        3528.0932         509.7673         740.7812        1286.5116        -497.9909          -5.2892         -64.4420         -99.4331
       5        -729.4072        3528.0932         507.3867         734.5294        1284.4570        -496.8260          -9.5740         -67.0451        -101.5486
       6        -729.4074        3528.0932         507.9099         732.9028        1286.3894        -495.5624         -10.1680         -67.8469        -100.9484
       7        -729.4077        3528.0932         508.6648         733.9258        1287.6692        -495.6005          -8.2739         -65.4277         -98.2753
       8        -729.4081        3528.0932         508.7398         735.6900        1286.4836        -495.9542          -4.9187         -59.9112         -93.6884
       9        -729.4084        3528.0932         510.7691         738.2361        1288.4470        -494.3758          -0.8165         -55.0752         -88.2953
      10        -729.4090        3528.0932         513.3350         740.3190        1292.5286        -492.8425           0.1204         -53.3118         -85.0857
      11        -729.4097        3528.0932         509.5133         734.9466        1289.6727        -496.0796          -5.7986         -54.3388         -89.5098
      12        -729.4105        3528.0932         507.2079         725.6635        1302.5668        -506.6067          -7.2798         -62.6677        -102.0271
      13        -729.4115        3528.0932         490.4224         717.4700        1271.8667        -518.0696         -23.8181         -55.6216        -101.3635
      14        -729.4124        3528.0932         534.3157         731.9255        1378.7639        -507.7424          21.4590         -82.7013        -110.2889
      15        -729.4086        3528.0932         394.4900         696.2377        1038.9957        -551.7633        -119.3633          16.0704         -63.7757
      16        -729.4141        3528.0932         525.9111         738.9067        1356.7498        -517.9232          15.3815         -68.7729        -100.6691
      17        -729.4142        3528.0932         518.7200         736.0156        1339.5339        -519.3896           7.8558         -64.5034         -98.9590
      18        -729.4143        3528.0932         506.7315         731.1217        1310.9186        -521.8456          -4.6588         -57.3957         -96.1770
      19        -729.4143        3528.0932         494.3564         725.9959        1281.5847        -524.5115         -17.7448         -50.2583         -93.5296
      20        -729.4144        3528.0932         495.0550         726.2831        1283.2603        -524.3782         -17.0706         -50.7159         -93.7580
      21        -729.4144        3528.0932         496.3297         726.7303        1286.4484        -524.1894         -15.7750         -51.5837         -94.1870
      22        -729.4144        3528.0932         498.1121         727.3829        1290.8723        -523.9190         -13.9931         -52.7888         -94.7732
      23        -729.4144        3528.0932         500.2236         728.1423        1296.1371        -523.6085         -11.9053         -54.1933         -95.5096
      24        -729.4144        3528.0932         502.4237         728.9120        1301.6504        -523.2914          -9.7155         -55.7042         -96.3051
      25        -729.4144        3528.0932         504.4464         729.5867        1306.7417        -522.9890          -7.7402         -57.1330         -97.0779
      26        -729.4144        3528.0932         505.9425         729.9973        1310.6796        -522.8492          -6.2485         -58.2817         -97.7475
      27        -729.4145        3528.0932         506.8743         730.2195        1313.1995        -522.7960          -5.4062         -59.1180         -98.2980
      28        -729.4146        3528.0932         506.9256         730.0519        1313.6639        -522.9390          -5.4835         -59.4182         -98.6566
      29        -729.4146        3528.0932         505.8316         729.3690        1311.4414        -523.3156          -6.7549         -59.0789         -98.7700
      30        -729.4147        3528.0932         503.6092         728.2391        1306.5354        -523.9468          -9.1929         -58.0917         -98.6023
      31        -729.4147        3528.0932         500.6471         726.7973        1299.8405        -524.6966         -12.4397         -56.6293         -98.2153
      32        -729.4148        3528.0932         497.8404         725.4116        1293.6638        -525.5541         -15.4608         -55.3187         -97.8747
      33        -729.4149        3528.0932         496.5291         724.6922        1291.0414        -526.1462         -16.9074         -54.8976         -97.8483
      34        -729.4150        3528.0932         497.5229         724.9880        1293.9734        -526.3926         -15.9484         -55.8022         -98.3179
      35        -729.4152        3528.0932         500.3836         726.1671        1301.2888        -526.3052         -12.9558         -57.7291         -99.1160
      36        -729.4153        3528.0932         502.5915         727.1496        1306.9447        -526.3197         -10.5353         -59.0759         -99.5001
      37        -729.4155        3528.0932         501.2705         726.7693        1304.0071        -526.9649         -11.7282         -58.1780         -98.7303
      38        -729.4158        3528.0932         496.9478         725.1920        1293.9606        -528.3091         -15.9876         -55.4345         -97.0287
      39        -729.4162        3528.0932         495.6327         725.1361        1291.3357        -529.5735         -17.1531         -54.4214         -96.0884
      40        -729.4166        3528.0932         499.8141         727.4863        1302.2645        -530.3084         -12.4520         -56.5807         -96.8288
      41        -729.4171        3528.0932         499.9145         727.7751        1303.9189        -531.9507         -12.2715         -56.6222         -97.0134
      42        -729.4177        3528.0932         493.3137         724.7836        1290.4789        -535.3212         -19.5499         -53.3179         -96.0323
      43        -729.4185        3528.0932         498.6180         727.7391        1306.0157        -537.9009         -13.8163         -56.3943         -98.3535
      44        -729.4194        3528.0932         492.9946         724.7605        1296.1410        -541.9177         -19.9994         -53.6372         -97.7773
      45        -729.4205        3528.0932         497.7923         728.4587        1310.6818        -545.7635         -14.0504         -55.3746         -98.9618
      46        -729.4218        3528.0932         480.9789         718.1992        1275.5319        -550.7941         -33.2928         -47.1293         -94.7662
      47        -729.4226        3528.0932         533.9566         754.0828        1403.0630        -555.2758          31.9709         -68.4737        -106.7516
      48        -729.4235        3528.0932         487.0331         722.3806        1295.3707        -556.6522         -25.5908         -49.6678         -96.7305
      49        -729.4235        3528.0932         488.2749         723.0969        1298.2498        -556.5220         -24.1469         -50.1897         -97.0275
      50        -729.4235        3528.0932         490.3970         724.4227        1303.1543        -556.3860         -21.6451         -51.0722         -97.5772
      51        -729.4235        3528.0932         492.7146         725.8464        1308.5474        -556.2499         -18.9661         -52.0786         -98.1978
      52        -729.4235        3528.0932         494.3774         726.8591        1312.4893        -556.2160         -17.0898         -52.7927         -98.6811
      53        -729.4236        3528.0932         494.7757         727.0244        1313.6058        -556.3031         -16.7441         -53.0075         -98.9392
      54        -729.4237        3528.0932         493.8160         726.3486        1311.6384        -556.5391         -18.0330         -52.6679         -98.9008
      55        -729.4237        3528.0932         491.8734         725.0303        1307.5187        -556.9286         -20.5170         -51.9516         -98.6403
      56        -729.4238        3528.0932         489.5946         723.5270        1302.6696        -557.4128         -23.3772         -51.0967         -98.3044
      57        -729.4240        3528.0932         488.2923         722.6142        1300.1405        -557.8777         -25.0310         -50.6230         -98.1622
      58        -729.4241        3528.0932         488.9919         723.0081        1302.2344        -558.2668         -24.1694         -50.9447         -98.4287
      59        -729.4243        3528.0932         491.2638         724.4486        1308.0190        -558.6763         -21.3355         -51.8514         -99.0123
      60        -729.4244        3528.0932         492.4933         725.2099        1311.4761        -559.2060         -19.7809         -52.3026         -99.2699
      61        -729.4248        3528.0932         490.3035         723.7402        1307.2697        -560.0995         -22.4595         -51.3836         -98.7350
      62        -729.4251        3528.0932         487.2690         721.7636        1301.3794        -561.3361         -26.1108         -50.1930         -98.0430
      63        -729.4255        3528.0932         488.9384         723.0125        1306.3817        -562.5790         -23.8795         -50.7441         -98.4572
      64        -729.4261        3528.0932         490.9898         724.4963        1312.5924        -564.1192         -21.3844         -51.4397         -99.0943
      65        -729.4268        3528.0932         485.3758         720.5654        1302.1827        -566.6207         -28.5776         -49.6096         -98.4827
      66        -729.4276        3528.0932         489.1519         723.6404        1313.0906        -569.2754         -23.7333         -50.8065         -99.8021
      67        -729.4285        3528.0932         483.4246         719.5129        1303.2096        -572.4487         -31.4758         -49.2402         -99.2742
      68        -729.4297        3528.0932         493.2069         728.4830        1327.4834        -576.3458         -18.5893         -51.2294        -101.0821
      69        -729.4308        3528.0932         457.5879         699.2626        1253.6539        -580.1528         -66.5694         -43.0650         -94.9810
      70        -729.4293        3528.0932         574.8000         806.4739        1503.4894        -585.5632          92.5917         -64.0935        -110.2897
      71        -729.4327        3528.0932         464.4233         707.1350        1271.0491        -584.9140         -58.9288         -43.7248         -95.1882
      72        -729.4328        3528.0932         470.4883         712.5359        1283.7566        -584.8276         -50.6755         -44.8850         -95.9912
      73        -729.4329        3528.0932         480.9371         721.8821        1305.6133        -584.6840         -36.5049         -46.9150         -97.3470
      74        -729.4329        3528.0932         492.4036         732.1977        1329.5516        -584.5385         -21.0215         -49.0768         -98.8070
      75        -729.4329        3528.0932         491.8888         731.7228        1328.4854        -584.5417         -21.7281         -48.9799         -98.7326
      76        -729.4329        3528.0932         490.9220         730.8699        1326.4147        -584.5185         -23.0908         -48.7758         -98.6072
      77        -729.4330        3528.0932         489.5233         729.6566        1323.5015        -584.5882         -25.0120         -48.5000         -98.4128
      78        -729.4330        3528.0932         487.9022         728.2341        1320.0885        -584.6161         -27.2900         -48.1594         -98.1861
      79        -729.4330        3528.0932         486.1676         726.7346        1316.4097        -584.6415         -29.7138         -47.7946         -97.9514
      80        -729.4330        3528.0932         484.5569         725.3522        1312.9945        -584.6759         -31.9909         -47.4409         -97.7156
      81        -729.4330        3528.0932         483.2246         724.1899        1310.2065        -584.7226         -33.8801         -47.1632         -97.5092
      82        -729.4330        3528.0932         482.2745         723.3909        1308.1952        -584.7626         -35.2750         -46.9333         -97.3837
