AsF5 169.913610815
BF3 67.80520948899999
BiF5 303.972415815
BrF5 174.896015815
C2I2F4 353.82455265199997
C2IF5 245.918485815
CF3I 195.91067948900002
ClF5 130.442015815
CoCl2 129.833194
COF2 66.006806326
COS 60.07
CS2 76.131
HfCl4 320.29
HF 20.006403162999998
HI 127.91247
IBr 206.80847
IF5 221.896485815
IF7 259.89329214099996
NbF5 187.89838581499998
NH4F 37.037403163
PF3 87.968971487
PF5 125.965777813
SO2 64.058
TaCl4 322.74788
TaF5 275.939895815
TiCl4 189.667
WF6 297.830418978
XeF2 169.28980632600002
