10    0.83010    3.00114    0.05556    0.10043    3.05629    7.58347    1.42672    1.84107
20    1.63180    8.21109    0.05778    0.10276    7.32887   21.95943    2.37509    3.55560
30    2.45991   15.10468    0.05696    0.10137   12.15527   41.21631    3.19543    5.35740
40    3.33543   22.38238    0.05924    0.09585   17.48423   61.47473    3.96619    7.10406
50    4.26834   29.75818    0.05398    0.09117   23.38127   81.97771    4.71473    8.45265
60    5.25558   38.05467    0.05726    0.10069   29.80841  105.12881    5.41522    9.69501
70    6.31053   48.30431    0.05896    0.10037   37.41960  133.85009    5.86992   10.85708
80    7.37832   59.03359    0.05616    0.09261   45.50895  163.98816    6.18462   11.28176
90    8.57510   71.57669    0.05720    0.09865   55.50722  199.25728    6.15662   10.07443
100    9.72923   77.48519    0.06129    0.10033   64.10119  214.86681    6.54288    9.68885
