10    0.90315    3.15207    0.06013    0.10630    3.66931    7.80580    1.41528    1.97600
20    1.78434    7.66785    0.05653    0.09922    7.89574   19.84943    2.65716    4.01871
30    2.42257    9.31051    0.06442    0.11557   10.74581   23.62621    3.62093    4.96666
40    3.00444   11.37634    0.05947    0.10657   13.77134   28.76703    4.35202    5.81389
50    3.55659   14.89225    0.06462    0.11748   17.35152   38.39562    4.74319    6.75652
60    4.22103   19.70127    0.06073    0.10797   22.25468   51.69701    4.99534    7.46018
70    4.93805   23.33791    0.06111    0.11499   26.90040   61.17034    5.51684    8.51911
80    5.94501   26.41369    0.06339    0.11570   31.96435   68.26820    6.82998   10.67980
90    6.84657   30.39511    0.07166    0.12236   34.93947   79.00034    8.61725   12.79951
100    7.81167   33.37871    0.05519    0.10365   36.74092   86.71396   11.13242   15.16224
