10    1.24573    4.39068    0.06803    0.13404    5.08244   11.04099    1.97224    2.47557
20    2.64056   11.94619    0.07789    0.15685   12.65978   31.53971    3.55321    4.71775
30    3.89609   20.91334    0.07460    0.14304   20.17646   56.56930    4.72121    6.10311
40    4.88206   29.65131    0.07311    0.13001   26.38487   81.22758    5.51413    7.07065
50    5.90620   39.12224    0.07456    0.14367   31.73290  108.15882    6.77228    8.31863
60    6.99706   48.80345    0.08111    0.15852   37.67536  135.50707    8.00435    9.65773
70    8.02342   59.14828    0.08830    0.17616   44.87291  164.65666    8.51904   10.29567
80    9.13519   64.10198    0.07536    0.13679   53.19458  177.30870    8.90630   11.51387
90   10.72412   71.72435    0.05385    0.09256   66.06930  196.67472    9.07298   12.66457
100   13.17961   85.62095    0.05275    0.10484   85.15587  233.27819    9.59269   12.46172
