    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -843.6694        4360.9781         889.9739        -936.4019         509.0870        3097.2368        -928.5819         393.0935         594.0886
       1        -843.9481        4360.9781         664.0842        -699.8118         318.1952        2373.8691        -694.0207         540.2789         629.0004
       2        -844.1251        4360.9781         667.3797         -31.9380         421.4233        1612.6538        -378.8405         648.4617         660.1655
       3        -844.2279        4360.9781        1009.5462         885.2817         953.3981        1189.9587        -187.0931         487.8572         729.8147
       4        -844.3940        4360.9781        1429.5170        1646.2682        1602.5322        1039.7504        -157.6960          87.3695         868.4295
       5        -844.5161        4360.9781        1791.0835        2154.6902        2053.6814        1164.8788        -167.7044        -346.5414        1018.7702
       6        -844.5594        4360.9781        1932.1582        2325.2417        2030.2560        1440.9773         -68.6976        -652.4308        1064.7129
       7        -844.5815        4360.9781        1847.2557        2217.9280        1943.0382        1380.8008         -53.6137        -621.8147        1029.8939
       8        -844.6154        4360.9781        1694.0863        2021.9884        1782.6068        1277.6638         -28.5450        -564.2123         964.3000
       9        -844.6470        4360.9781        1500.1689        1766.0278        1572.7166        1161.7626          -2.9014        -486.4781         875.3088
      10        -844.6678        4360.9781        1298.0099        1479.3121        1343.9070        1070.8105          11.3070        -398.6970         773.8472
      11        -844.6808        4360.9781        1121.2385        1193.5558        1131.9467        1038.2131           3.9090        -315.1480         675.2943
      12        -844.6941        4360.9781         990.6584         935.9219         962.5996        1073.4537         -26.0462        -246.4489         591.7358
      13        -844.7128        4360.9781         915.5901         727.2786         848.2734        1171.2186         -73.6400        -196.2122         528.3862
      14        -844.7377        4360.9781         903.4362         577.0168         791.8527        1341.4390        -137.5349        -161.0304         483.5811
      15        -844.7620        4360.9781         974.3459         529.9976         810.6143        1582.4258        -205.3899        -140.9350         463.5855
      16        -844.7803        4360.9781        1127.5840         620.5231         907.2068        1855.0221        -251.9105        -133.3034         474.5778
      17        -844.7990        4360.9781        1304.6606         813.8137        1044.8668        2055.3015        -254.8175        -134.3475         511.1041
      18        -844.8301        4360.9781        1426.6573        1037.7080        1176.3003        2065.9639        -211.6212        -141.1077         557.6735
      19        -844.8702        4360.9781        1437.9781        1228.2799        1264.3358        1821.3188        -143.4534        -153.9560         595.1946
      20        -844.9023        4360.9781        1336.9833        1335.5330        1285.8300        1389.5870         -90.7749        -181.4458         624.9097
      21        -844.9353        4360.9781        1204.8468        1355.5748        1246.4764        1012.4893         -68.8759        -230.7491         685.9113
      22        -844.9784        4360.9781        1137.8810        1332.3511        1185.5968         895.6954         -49.8052        -299.0737         783.5182
      23        -845.0096        4360.9781        1177.2144        1237.6786        1189.0151        1104.9491           4.0089        -386.1205         823.1671
      24        -845.0474        4360.9781        1111.4562         987.7448        1128.0153        1218.6086          26.1680        -431.4078         718.1901
      25        -845.0743        4360.9781         962.5285         821.9769         915.0965        1150.5120          -6.4629        -372.5648         560.5243
      26        -845.1128        4360.9781        1156.7684        1062.3618        1027.8696        1380.0740          -9.5773        -374.6858         541.4393
      27        -845.1399        4360.9781        1494.1088        1456.6423        1491.5360        1534.1481         -76.9045        -495.8916         630.7081
      28        -845.1532        4360.9781        1352.0479        1376.1072        1306.6392        1373.3971         -47.7189        -488.7859         616.8153
      29        -845.1572        4360.9781        1144.7719        1237.1392        1062.8942        1134.2823         -11.1470        -474.5274         592.7958
      30        -845.1586        4360.9781        1148.4266        1231.6121        1077.3285        1136.3392         -16.1840        -473.8731         592.6383
      31        -845.1608        4360.9781        1155.1952        1221.4767        1103.8391        1140.2697         -25.2091        -472.6379         592.4959
      32        -845.1628        4360.9781        1163.7482        1208.3715        1137.3634        1145.5096         -36.2418        -470.9986         592.7465
      33        -845.1644        4360.9781        1171.4801        1194.2013        1169.5079        1150.7310         -46.4582        -469.2873         593.9894
      34        -845.1660        4360.9781        1175.0663        1180.6753        1190.7726        1153.7509         -53.1097        -467.9184         596.6354
      35        -845.1683        4360.9781        1172.1516        1168.5874        1195.5071        1152.3604         -54.8923        -467.1451         600.5323
      36        -845.1713        4360.9781        1161.7457        1157.9457        1182.6519        1144.6398         -51.8058        -466.9455         605.0312
      37        -845.1750        4360.9781        1141.9061        1147.3079        1151.2135        1127.1968         -43.9466        -467.0595         609.4617
      38        -845.1791        4360.9781        1113.0653        1135.4614        1106.4447        1097.2894         -33.3817        -466.7824         611.7369
      39        -845.1833        4360.9781        1080.7125        1120.7301        1064.1451        1057.2625         -25.4272        -464.8600         609.3359
      40        -845.1886        4360.9781        1055.1012        1104.3558        1043.0205        1017.9271         -25.4454        -460.1516         601.4537
      41        -845.1952        4360.9781        1048.1743        1093.7235        1054.3488         996.4506         -34.2835        -452.1312         589.5733
      42        -845.2021        4360.9781        1068.7998        1103.5956        1090.0094        1012.7945         -44.0730        -443.3900         578.8404
      43        -845.2104        4360.9781        1103.3358        1137.2938        1110.9584        1061.7551         -40.9713        -439.9151         573.9265
      44        -845.2196        4360.9781        1119.7181        1170.9100        1086.9290        1101.3156         -23.1196        -446.3468         569.2015
      45        -845.2299        4360.9781        1089.7448        1154.2621        1036.0168        1078.9557         -16.3210        -455.4040         548.3924
      46        -845.2411        4360.9781        1033.2253        1083.3900         995.2404        1021.0457         -35.4073        -452.1450         513.4056
      47        -845.2541        4360.9781        1003.8862        1041.5790         958.5694        1011.5099         -34.3038        -445.7636         496.7998
      48        -845.2679        4360.9781        1003.1675        1045.2676         946.2628        1017.9719          -6.2535        -470.0663         497.4254
      49        -845.2839        4360.9781         966.5579         999.0511         927.4871         973.1354         -49.3909        -481.7654         473.4678
      50        -845.3016        4360.9781         936.7961        1008.0391         873.1896         929.1595         -10.0820        -463.9131         461.6189
      51        -845.3191        4360.9781         956.7220         963.3050         962.3569         944.5043         -45.3143        -483.5701         418.1710
      52        -845.3186        4360.9781         921.1102        1040.5864         726.9379         995.8062          -5.8171        -474.2884         475.2894
      53        -845.3477        4360.9781         905.4918         938.8088         848.2371         929.4294         -29.9164        -488.1506         420.7322
      54        -845.3478        4360.9781         907.3633         941.1779         853.1149         927.7974         -29.7488        -487.2523         420.8242
      55        -845.3483        4360.9781         910.9739         945.7390         861.9879         925.1950         -29.3717        -485.7579         420.9678
      56        -845.3488        4360.9781         915.9913         952.0535         873.1308         922.7895         -28.7468        -484.1901         421.1182
      57        -845.3494        4360.9781         921.8890         959.5004         884.3074         921.8593         -27.8807        -483.2257         421.2410
      58        -845.3503        4360.9781         927.8942         967.2242         893.3952         923.0631         -26.8417        -483.4568         421.3407
      59        -845.3513        4360.9781         933.2322         974.4657         899.1262         926.1050         -25.7734        -485.1662         421.4971
      60        -845.3525        4360.9781         937.1490         980.5225         901.3515         929.5730         -24.8530        -488.2273         421.7783
      61        -845.3539        4360.9781         939.1463         985.1832         900.8115         931.4442         -24.1331        -492.5793         422.2467
      62        -845.3557        4360.9781         938.4028         987.6149         899.0271         928.5662         -23.6530        -497.3878         422.7141
      63        -845.3578        4360.9781         934.7780         987.3196         897.8619         919.1526         -23.0404        -501.4756         422.4894
      64        -845.3606        4360.9781         929.5959         984.9051         897.8580         906.0245         -21.5039        -504.2575         420.3966
      65        -845.3638        4360.9781         925.5883         982.5698         897.1532         897.0419         -18.5751        -506.6928         415.7177
      66        -845.3677        4360.9781         925.6082         984.2057         895.1704         897.4485         -15.6129        -510.8393         409.7448
      67        -845.3723        4360.9781         930.1282         992.3742         898.1973         899.8131         -15.1336        -517.2213         405.3062
      68        -845.3778        4360.9781         935.4475        1002.4207         911.0762         892.8456         -16.2730        -522.8917         402.2047
      69        -845.3844        4360.9781         936.2002        1005.1968         918.4836         884.9201         -14.0664        -527.0198         397.0049
      70        -845.3922        4360.9781         927.8026        1002.8240         911.6988         868.8851         -14.8455        -532.9146         394.0815
      71        -845.4012        4360.9781         912.6314         996.8759         917.2662         823.7523         -17.1103        -536.5388         387.5136
      72        -845.4121        4360.9781         911.1588         990.7090         904.9115         837.8558          -6.6870        -547.5438         375.2610
      73        -845.4238        4360.9781         902.5168        1025.2969         947.5048         734.7488         -37.7605        -547.5231         376.3143
      74        -845.4292        4360.9781         909.5091         930.2462         814.5364         983.7447          67.4825        -565.6865         303.0384
      75        -845.4398        4360.9781         889.8340         995.9818         907.0159         766.5043         -10.8446        -557.2198         351.7193
      76        -845.4325        4360.9781         884.4788        1063.9966         994.7779         594.6622         -80.7434        -550.7579         388.7709
      77        -845.4362        4360.9781         886.0706        1046.8202         971.4915         639.9003         -62.1041        -551.1744         377.1656
      78        -845.4403        4360.9781         890.0289        1018.0182         932.0432         720.0251         -30.0222        -552.5010         357.3673
      79        -845.4410        4360.9781         896.5388         986.2911         888.3538         814.9713           6.5169        -555.0555         335.4102
      80        -845.4410        4360.9781         896.3625         987.0792         889.6956         812.3126           5.4593        -555.0229         336.1940
      81        -845.4411        4360.9781         896.0333         988.6138         892.3011         807.1849           3.4099        -554.9705         337.7098
      82        -845.4413        4360.9781         895.5688         990.7763         895.9824         799.9476           0.5063        -554.8884         339.8290
      83        -845.4415        4360.9781         895.0210         993.4471         900.4735         791.1422          -3.0301        -554.7943         342.3940
      84        -845.4417        4360.9781         894.4495         996.4230         905.4072         781.5183          -6.9010        -554.6841         345.1581
      85        -845.4418        4360.9781         893.9097         999.4210         910.2975         772.0106         -10.7302        -554.5492         347.8145
      86        -845.4419        4360.9781         893.4558        1002.1169         914.5805         763.6700         -14.0771        -554.4004         350.0471
      87        -845.4421        4360.9781         893.1003        1004.4119         918.1224         756.7665         -16.8068        -554.2058         351.7265
      88        -845.4423        4360.9781         892.9033        1005.9348         920.2518         752.5233         -18.4057        -553.9692         352.4639
      89        -845.4427        4360.9781         892.8865        1006.2666         920.3737         752.0194         -18.3793        -553.6813         351.9301
      90        -845.4431        4360.9781         893.0645        1005.1049         918.0779         756.0104         -16.4084        -553.3473         349.9270
      91        -845.4436        4360.9781         893.3672        1002.3700         913.4011         764.3305         -12.5256        -552.9995         346.5744
      92        -845.4442        4360.9781         893.5818         998.4813         907.2543         775.0101          -7.5139        -552.6883         342.5693
      93        -845.4450        4360.9781         893.3139         994.5993         901.8385         783.5039          -3.1924        -552.4239         339.3234
      94        -845.4459        4360.9781         892.0618         992.1669         899.6038         784.4150          -1.7195        -552.1908         338.3148
      95        -845.4470        4360.9781         889.5169         992.1373         901.7590         774.6545          -4.3106        -551.8825         340.0150
      96        -845.4484        4360.9781         885.7673         993.9031         906.4458         756.9529          -9.9863        -551.2892         342.9863
      97        -845.4500        4360.9781         881.7254         994.2974         907.9199         742.9590         -13.8965        -550.3337         343.2743
      98        -845.4520        4360.9781         878.4047         989.7371         901.1377         744.3394         -11.3089        -549.1541         338.1836
      99        -845.4544        4360.9781         875.8420         980.9247         889.2147         757.3865          -3.9041        -548.2352         330.7088
     100        -845.4573        4360.9781         872.2034         975.5220         885.2739         755.8145          -2.4262        -547.7889         329.0409
     101        -845.4608        4360.9781         866.0168         977.2654         891.1813         729.6035         -10.7477        -547.0555         331.9470
     102        -845.4650        4360.9781         859.1208         973.1526         884.1927         720.0170         -11.4695        -545.3345         324.6272
     103        -845.4700        4360.9781         851.5024         956.5618         865.6586         732.2866          -1.7383        -545.3434         314.8444
     104        -845.4760        4360.9781         838.7116         955.0781         872.2640         688.7928         -13.6171        -546.8758         321.1989
     105        -845.4830        4360.9781         828.8747         945.1045         847.6191         693.9005          -5.2225        -545.9494         298.4729
     106        -845.4912        4360.9781         816.4180         932.3350         867.7695         649.1494         -16.3531        -552.9431         324.4797
     107        -845.4990        4360.9781         802.0352         944.4097         780.4435         681.2521           7.7430        -547.3762         232.1240
     108        -845.4955        4360.9781         782.8638         865.1782         977.4630         505.9500         -61.7972        -576.2701         456.2046
     109        -845.5123        4360.9781         778.9484         914.4656         806.1738         616.2059          -1.5531        -556.8179         279.4361
     110        -845.5125        4360.9781         779.8185         915.3719         809.6083         614.4753          -3.7830        -557.4398         281.1755
     111        -845.5127        4360.9781         781.4746         917.1500         815.6482         611.6257          -7.6324        -558.5214         284.1221
     112        -845.5129        4360.9781         783.7359         919.6525         822.7075         608.8478         -11.8804        -559.7272         287.2256
     113        -845.5132        4360.9781         786.2830         922.6398         828.7826         607.4268         -15.0386        -560.6786         289.3108
     114        -845.5135        4360.9781         788.6938         925.6779         832.2149         608.1888         -16.0069        -561.0756         289.5341
     115        -845.5139        4360.9781         790.5881         928.3537         832.4012         611.0093         -14.5546        -560.8533         287.8072
     116        -845.5143        4360.9781         791.6592         930.2722         829.8980         614.8077         -11.3694        -560.2123         284.7938
     117        -845.5149        4360.9781         791.6516         931.1631         825.7589         618.0328          -7.5908        -559.4930         281.4459
     118        -845.5157        4360.9781         790.2447         930.5587         822.4178         617.7575          -5.5446        -559.3472         279.6807
     119        -845.5167        4360.9781         787.4786         928.4700         822.0913         611.8746          -7.1150        -560.3103         280.7939
     120        -845.5178        4360.9781         783.8721         925.5992         824.3427         601.6743         -11.5633        -562.2689         283.6804
     121        -845.5193        4360.9781         780.5615         923.3596         824.7705         593.5541         -13.9577        -564.1221         284.1012
     122        -845.5211        4360.9781         778.6071         922.8550         819.8970         593.0693         -10.0313        -564.8314         279.4735
     123        -845.5233        4360.9781         778.2156         923.9507         815.5629         595.1334          -4.5343        -565.5476         274.8761
     124        -845.5259        4360.9781         777.7861         925.3983         821.2401         586.7198          -7.8956        -568.6382         277.2620
     125        -845.5292        4360.9781         775.1360         926.5413         824.4652         574.4017         -12.6912        -571.9827         276.8746
     126        -845.5332        4360.9781         769.0861         924.5336         809.7543         572.9703          -4.1440        -572.2018         267.1458
     127        -845.5381        4360.9781         761.3851         919.2394         814.7358         550.1800         -12.5752        -577.6824         274.0129
     128        -845.5438        4360.9781         755.5049         921.5683         796.6602         548.2861          -3.9358        -578.2023         252.6955
     129        -845.5503        4360.9781         745.8006         903.2001         824.7435         509.4584         -21.8545        -586.0854         289.5382
     130        -845.5546        4360.9781         733.7852         932.9460         712.6814         555.7283          30.6223        -576.5598         157.8462
     131        -845.5589        4360.9781         729.5054         898.9854         786.2042         503.3264          -6.0947        -584.2988         252.5092
     132        -845.5562        4360.9781         729.9080         876.5942         853.6757         459.4540         -42.9593        -593.8095         332.4528
     133        -845.5576        4360.9781         729.6983         882.4642         836.9349         469.6960         -34.0657        -591.3932         312.7012
     134        -845.5592        4360.9781         729.7598         893.4070         807.7585         488.1137         -18.7507        -587.4069         277.6119
     135        -845.5596        4360.9781         730.5620         907.3937         773.8182         510.4742          -1.2634        -583.1136         235.5723
     136        -845.5596        4360.9781         730.5432         907.1216         774.5513         509.9564          -1.6861        -583.2023         236.4543
     137        -845.5597        4360.9781         730.5119         906.5909         775.9761         508.9688          -2.5109        -583.3732         238.1526
     138        -845.5598        4360.9781         730.4712         905.8605         777.9955         507.5576          -3.6749        -583.6147         240.5591
     139        -845.5598        4360.9781         730.4280         904.9781         780.4633         505.8425          -5.0998        -583.9099         243.4740
     140        -845.5599        4360.9781         730.3757         904.0213         783.1603         503.9452          -6.6752        -584.2408         246.6553
     141        -845.5600        4360.9781         730.3300         903.0911         785.8532         502.0457          -8.2420        -584.5706         249.8033
     142        -845.5601        4360.9781         730.2889         902.2820         788.2595         500.3251          -9.6655        -584.8682         252.5864
     143        -845.5602        4360.9781         730.2562         901.6373         790.3337         498.7976         -10.8874        -585.1208         254.9216
     144        -845.5603        4360.9781         730.2017         901.2386         791.6676         497.6986         -11.7074        -585.2855         256.3651
     145        -845.5605        4360.9781         730.1384         901.2635         791.8898         497.2619         -11.9179        -585.3086         256.4692
     146        -845.5607        4360.9781         730.0229         901.7332         790.7210         497.6145         -11.3212        -585.1603         254.9132
     147        -845.5610        4360.9781         729.8318         902.6500         788.1037         498.7418          -9.9259        -584.8256         251.6698
     148        -845.5614        4360.9781         729.4929         903.7510         784.4730         500.2549          -7.9845        -584.3738         247.2964
