10    1.12106    3.25960    0.07250    0.13132    4.22363    7.59914    1.89327    2.36334
20    2.28643    7.20684    0.07344    0.13335    9.13797   17.14980    3.79476    4.92951
30    3.29234   12.22419    0.06496    0.11149   14.34211   30.82170    5.06901    6.64091
40    4.20098   16.54738    0.08319    0.16505   19.43516   42.59565    6.01347    7.38831
50    4.98585   20.97630    0.07804    0.14339   24.43659   54.75359    6.62855    7.83060
60    5.83111   25.17157    0.06721    0.12409   29.39601   65.86382    7.47185    8.92919
70    7.23186   32.41322    0.08077    0.13418   36.75078   85.28543    9.15440   11.32007
80    9.45809   43.66820    0.06415    0.10868   48.87842  115.43121   11.72634   14.31835
90   11.61481   56.18283    0.05723    0.09421   62.44592  148.98871   13.47293   17.52429
100   14.01293   78.01419    0.04970    0.08153   79.65387  210.47927   14.56597   19.68405
