10    1.45765    4.71167    0.08907    0.19281    6.18446   11.57692    2.19462    2.63546
20    3.11455   11.03023    0.09509    0.25212   13.91381   27.36657    4.59222    6.15623
30    4.66904   17.37813    0.10927    0.37657   20.96427   43.51865    6.90569    9.67887
40    5.95040   20.43653    0.13913    0.48751   25.68355   49.40630    9.21476   13.36035
50    7.39834   25.37683    0.14648    0.58847   31.73891   61.01443   11.58567   17.11040
60    8.94365   30.70876    0.16178    0.65091   38.19953   73.77936   14.10250   20.87181
70   10.71319   37.83188    0.16587    0.68151   47.43186   92.12932   16.27656   23.91423
80   12.57571   45.41129    0.16002    0.69970   60.08908  111.79549   17.40850   24.97785
90   14.49528   52.47027    0.15647    0.69441   75.57838  129.24714   17.59255   23.67965
100   16.12564   57.51463    0.14167    0.63083   87.54941  140.69324   18.24537   22.98190
