10    1.57171    4.46038    0.08312    0.15515    6.41231   10.21600    2.49356    3.12756
20    3.40142   11.75488    0.09193    0.17278   15.09013   28.96432    5.08015    6.67987
30    5.50172   20.73428    0.08634    0.16876   25.23832   52.10419    8.00463   11.08716
40    7.74135   29.34914    0.08700    0.16065   35.86815   73.72402   11.18698   15.64618
50   10.08422   37.33540    0.09025    0.15519   46.62321   92.84215   14.65705   20.81407
60   12.28316   45.71245    0.08611    0.15817   56.68079  112.99337   17.94243   26.91461
70   14.70751   56.24812    0.07919    0.14249   69.10635  140.69169   21.03433   30.84975
80   17.55930   70.01742    0.08827    0.16981   84.28278  178.15339   24.41428   34.15747
90   20.72466   85.22350    0.07366    0.12639  100.13614  218.79810   28.60997   39.50662
100   22.26702   96.11810    0.06991    0.13832  111.49747  249.16954   29.19330   40.73597
