1 : -.50291658018669 eV
2 : -.46001658018669 eV
3 : -.46551658018669 eV
4 : -.51861658018669 eV
5 : -.54961658018669 eV
6 : -.55101658018669 eV
7 : -.56361658018669 eV
8 : -.13061658018669 eV
9 : -.51511658018669 eV
10 : -.49271658018669 eV
11 : -.13771658018669 eV
12 : -.56521658018669 eV
13 : -.14051658018669 eV
14 : -.41411658018669 eV
15 : -.49181658018669 eV
16 : -.14691658018669 eV
17 : -.16081658018669 eV
18 : -.56641658018669 eV
19 : -.50751658018669 eV
20 : -.55381658018669 eV
21 : -.51111658018669 eV
22 : -.51281658018669 eV
23 : -.56621658018669 eV
24 : -.56281658018669 eV
25 : -.47651658018669 eV
26 : -.52011658018669 eV
27 : -.50481658018669 eV
28 : -.50641658018669 eV
29 : -.41341658018669 eV
30 : -.57801658018669 eV
31 : -.05241658018669 eV
32 : -.49491658018669 eV
33 : -.57211658018669 eV
34 : -.46101658018669 eV
35 : -.45961658018669 eV
36 : -.40761658018669 eV
37 : -.45381658018669 eV
38 : -.13921658018669 eV
39 : -.56411658018669 eV
40 : -.14091658018669 eV
41 : -.56301658018669 eV
42 : -.57471658018669 eV
43 : -.46821658018669 eV
44 : -.55301658018669 eV
45 : -.52171658018669 eV
46 : -.48101658018669 eV
47 : -.45981658018669 eV
48 : -.54951658018669 eV
49 : -.55311658018669 eV
50 : -.51451658018669 eV
51 : -.45291658018669 eV
52 : -.56821658018669 eV
53 : -.14231658018669 eV
54 : -.51981658018669 eV
55 : -.50981658018669 eV
56 : -.15961658018669 eV
57 : -.52921658018669 eV
58 : -.48021658018669 eV
59 : -.58961658018669 eV
60 : -.51361658018669 eV
61 : -.51971658018669 eV
62 : -.48121658018669 eV
63 : -.57021658018669 eV
64 : -.53121658018669 eV
65 : -.52231658018669 eV
66 : -.48721658018669 eV
67 : -.56681658018669 eV
68 : -.52071658018669 eV
69 : -.13411658018669 eV
70 : -.52161658018669 eV
71 : -.48391658018669 eV
72 : -.56751658018669 eV
73 : -.49651658018669 eV
74 : -.46021658018669 eV
75 : -.58211658018669 eV
76 : -.46101658018669 eV
77 : -.56171658018669 eV
78 : -.45501658018669 eV
79 : -.14891658018669 eV
80 : -.45951658018669 eV
81 : -.14151658018669 eV
82 : -.06511658018669 eV
83 : -.56761658018669 eV
84 : -.14391658018669 eV
85 : -.57271658018669 eV
86 : -.13231658018669 eV
87 : -.14621658018669 eV
88 : -.58341658018669 eV
89 : -.49821658018669 eV
90 : -.49701658018669 eV
91 : -.43791658018669 eV
92 : -.50251658018669 eV
93 : -.13851658018669 eV
94 : -.14781658018669 eV
95 : -.14621658018669 eV
96 : -.52191658018669 eV
97 : -.52111658018669 eV
98 : -.43331658018669 eV
99 : -.40711658018669 eV
100 : -.53391658018669 eV
