    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      58       -1012.5362        4928.2438         683.0163         643.0411        1053.1709         352.8368         -65.7939         177.4088        -105.7077
      59       -1012.5210        4928.2438         833.1765        1021.8771        1050.8529         426.7993         -20.0101         156.6690        -272.3816
      60       -1012.5292        4928.2438         791.1292         915.2776        1052.2332         405.8767         -32.9787         162.3408        -225.8989
      61       -1012.5369        4928.2438         723.5469         743.4408        1054.8293         372.3704         -54.2413         171.6062        -150.7148
      62       -1012.5366        4928.2438         653.3036         564.5646        1057.9473         337.3990         -77.1201         181.6649         -72.1006
      63       -1012.5368        4928.2438         655.7332         570.7653        1057.8413         338.5929         -76.3464         181.3059         -74.8535
      64       -1012.5372        4928.2438         660.4543         582.8152        1057.6279         340.9197         -74.8258         180.6071         -80.2060
      65       -1012.5376        4928.2438         667.2109         600.0445        1057.3438         344.2444         -72.6504         179.5983         -87.8633
      66       -1012.5381        4928.2438         675.5818         621.3685        1057.0015         348.3757         -69.9358         178.3409         -97.3494
      67       -1012.5385        4928.2438         684.9844         645.2852        1056.6488         353.0191         -66.8673         176.9167        -107.9917
      68       -1012.5386        4928.2438         694.5078         669.4703        1056.3416         357.7118         -63.7280         175.4389        -118.7882
      69       -1012.5388        4928.2438         702.8746         690.6617        1056.1339         361.8281         -60.9309         174.1042        -128.2846
      70       -1012.5390        4928.2438         709.6338         707.7079        1056.0632         365.1303         -58.6306         172.9687        -135.9924
      71       -1012.5391        4928.2438         713.6351         717.7183        1056.1556         367.0313         -57.2277         172.2087        -140.6339
      72       -1012.5395        4928.2438         713.8908         718.1811        1056.4547         367.0367         -57.1006         171.9929        -141.0873
      73       -1012.5402        4928.2438         709.6762         707.3146        1056.9592         364.7548         -58.5817         172.4727        -136.5555
      74       -1012.5410        4928.2438         700.9719         685.0946        1057.6702         360.1507         -61.7837         173.6854        -126.9961
      75       -1012.5417        4928.2438         689.2606         655.3222        1058.5095         353.9500         -66.3202         175.4486        -114.0942
      76       -1012.5424        4928.2438         678.8335         628.8533        1059.3636         348.2835         -70.6610         177.0788        -102.6624
      77       -1012.5433        4928.2438         674.4433         617.6899        1060.0797         345.5603         -72.8589         177.6935         -98.0931
      78       -1012.5447        4928.2438         678.9572         628.8500        1060.7195         347.3019         -71.4249         176.6149        -103.6201
      79       -1012.5463        4928.2438         691.6992         660.3296        1061.5488         353.2192         -66.1230         173.7216        -118.4854
      80       -1012.5481        4928.2438         703.7517         689.4291        1063.0477         358.7784         -60.5943         170.6001        -132.5542
      81       -1012.5503        4928.2438         702.1570         684.1594        1065.1147         357.1967         -61.4450         170.2200        -131.2401
      82       -1012.5530        4928.2438         685.0197         641.8837        1065.7655         347.4099         -71.2277         173.0877        -113.1484
      83       -1012.5559        4928.2438         674.5544         616.9738        1065.6726         341.0168         -78.3737         174.3078        -103.0702
      84       -1012.5598        4928.2438         686.6733         646.5886        1066.7755         346.6558         -71.5220         168.7615        -118.7345
      85       -1012.5639        4928.2438         698.9197         674.9222        1069.1432         352.6938         -63.1472         162.0248        -134.8248
      86       -1012.5688        4928.2438         674.1385         616.7154        1066.5623         339.1378         -83.1720         168.3133        -110.2918
      87       -1012.5744        4928.2438         678.0137         624.8303        1067.7971         341.4139         -81.3680         164.2008        -118.4768
      88       -1012.5803        4928.2438         696.4307         662.3736        1074.8940         352.0244         -64.4503         152.6944        -142.8152
      89       -1012.5850        4928.2438         637.3666         539.4791        1050.3104         322.3102        -128.4232         180.8176         -88.1604
      90       -1012.5894        4928.2438         740.5989         737.5639        1106.6084         377.6245          -8.1034         119.3565        -198.4303
      91       -1012.5931        4928.2438         682.1052         626.7167        1071.3567         348.2420         -78.4186         154.2083        -141.9901
      92       -1012.5908        4928.2438         626.8747         520.6343        1038.5923         321.3974        -146.8713         187.8809         -88.3233
